as_of,engine,rank,team,confederation,attack,defence,rating,opp_rating
2026-06-30,dc,1,Argentina,CONMEBOL,1.4349,-1.7639,3.1988,1.63
2026-06-30,dc,2,Spain,UEFA,1.5666,-1.4381,3.0048,1.8168
2026-06-30,dc,3,Brazil,CONMEBOL,1.5526,-1.2693,2.8219,1.9604
2026-06-30,dc,4,England,UEFA,1.3386,-1.4696,2.8082,1.5371
2026-06-30,dc,5,France,UEFA,1.499,-1.2555,2.7545,1.8705
2026-06-30,dc,6,Portugal,UEFA,1.4611,-1.2652,2.7262,1.6663
2026-06-30,dc,7,Colombia,CONMEBOL,1.3816,-1.2555,2.6371,1.9022
2026-06-30,dc,8,Netherlands,UEFA,1.4725,-1.0963,2.5689,1.7123
2026-06-30,dc,9,Morocco,CAF,1.0482,-1.4745,2.5227,1.1283
2026-06-30,dc,10,Belgium,UEFA,1.394,-1.1197,2.5136,1.4917
2026-06-30,dc,11,Germany,UEFA,1.5372,-0.9735,2.5107,1.7924
2026-06-30,dc,12,Denmark,UEFA,1.1983,-1.2107,2.409,1.6462
2026-06-30,dc,13,Japan,AFC,1.2081,-1.1639,2.372,1.2738
2026-06-30,dc,14,Switzerland,UEFA,1.2986,-0.9916,2.2903,1.7213
2026-06-30,dc,15,Ecuador,CONMEBOL,0.8678,-1.419,2.2868,1.7998
2026-06-30,dc,16,Italy,UEFA,1.1924,-1.0801,2.2725,1.666
2026-06-30,dc,17,Norway,UEFA,1.3693,-0.8953,2.2646,1.5067
2026-06-30,dc,18,Uruguay,CONMEBOL,0.9805,-1.253,2.2335,1.8319
2026-06-30,dc,19,Croatia,UEFA,1.1908,-1.0124,2.2032,1.7177
2026-06-30,dc,20,Austria,UEFA,1.1486,-0.9954,2.144,1.4436
2026-06-30,dc,21,Senegal,CAF,1.122,-0.9973,2.1193,1.144
2026-06-30,dc,22,Mexico,CONCACAF,1.0013,-1.0636,2.0649,1.4602
2026-06-30,dc,23,Algeria,CAF,1.147,-0.8724,2.0194,1.0043
2026-06-30,dc,24,Greece,UEFA,0.9421,-1.0118,1.9538,1.5371
2026-06-30,dc,25,Australia,AFC,0.8844,-1.0614,1.9459,1.1876
2026-06-30,dc,26,Russia,UEFA,0.8782,-1.0545,1.9327,0.9912
2026-06-30,dc,27,Turkey,UEFA,1.184,-0.742,1.926,1.5545
2026-06-30,dc,28,Ivory Coast,CAF,0.8393,-1.07,1.9093,1.0149
2026-06-30,dc,29,Canada,CONCACAF,0.9031,-0.9917,1.8948,1.2717
2026-06-30,dc,30,Iran,AFC,0.967,-0.9049,1.8719,0.9362
2026-06-30,dc,31,Sweden,UEFA,1.2164,-0.634,1.8504,1.64
2026-06-30,dc,32,Paraguay,CONMEBOL,0.8093,-1.0358,1.8451,1.9534
2026-06-30,dc,33,Chile,CONMEBOL,1.0034,-0.7937,1.7971,1.8695
2026-06-30,dc,34,Ukraine,UEFA,1.0405,-0.7555,1.796,1.6217
2026-06-30,dc,35,Egypt,CAF,0.7479,-1.014,1.7619,1.0982
2026-06-30,dc,36,United States,CONCACAF,1.0312,-0.7299,1.7611,1.4669
2026-06-30,dc,37,Scotland,UEFA,0.9479,-0.8072,1.7552,1.6512
2026-06-30,dc,38,Poland,UEFA,0.9834,-0.7315,1.7149,1.5135
2026-06-30,dc,39,Nigeria,CAF,0.9385,-0.7641,1.7027,1.0913
2026-06-30,dc,40,South Korea,AFC,0.904,-0.7982,1.7022,1.0907
2026-06-30,dc,41,Mali,CAF,0.6506,-1.0514,1.7019,0.8982
2026-06-30,dc,42,Czech Republic,UEFA,0.9784,-0.6984,1.6767,1.3099
2026-06-30,dc,43,Serbia,UEFA,0.9102,-0.7591,1.6694,1.5816
2026-06-30,dc,44,Venezuela,CONMEBOL,0.8955,-0.7679,1.6634,1.8186
2026-06-30,dc,45,DR Congo,CAF,0.5922,-1.0511,1.6433,1.1004
2026-06-30,dc,46,Hungary,UEFA,0.8206,-0.801,1.6216,1.5408
2026-06-30,dc,47,Kosovo,UEFA,0.8368,-0.7321,1.5689,1.2481
2026-06-30,dc,48,Slovenia,UEFA,0.6061,-0.9567,1.5628,1.429
2026-06-30,dc,49,Peru,CONMEBOL,0.6245,-0.9197,1.5442,1.8955
2026-06-30,dc,50,Republic of Ireland,UEFA,0.6246,-0.9123,1.5369,1.4294
2026-06-30,dc,51,Romania,UEFA,0.7633,-0.7663,1.5296,1.1334
2026-06-30,dc,52,Wales,UEFA,0.752,-0.772,1.5241,1.3428
2026-06-30,dc,53,Slovakia,UEFA,0.7645,-0.7568,1.5212,1.3035
2026-06-30,dc,54,Georgia,UEFA,0.867,-0.6519,1.5189,1.357
2026-06-30,dc,55,Cameroon,CAF,0.6318,-0.8647,1.4965,1.021
2026-06-30,dc,56,Israel,UEFA,1.0181,-0.4259,1.444,1.4292
2026-06-30,dc,57,Tunisia,CAF,0.6834,-0.7211,1.4045,1.1499
2026-06-30,dc,58,Northern Ireland,UEFA,0.6071,-0.7925,1.3996,1.4097
2026-06-30,dc,59,Burkina Faso,CAF,0.8195,-0.5002,1.3197,0.8977
2026-06-30,dc,60,Iceland,UEFA,0.8354,-0.4695,1.3049,1.49
2026-06-30,dc,61,Ghana,CAF,0.6105,-0.6668,1.2773,1.219
2026-06-30,dc,62,Albania,UEFA,0.4039,-0.8714,1.2753,1.1966
2026-06-30,dc,63,Uzbekistan,AFC,0.6284,-0.6445,1.2729,1.0373
2026-06-30,dc,64,South Africa,CAF,0.55,-0.7182,1.2682,0.8957
2026-06-30,dc,65,Zanzibar,CAF,0.2369,-1.0232,1.2601,0.833
2026-06-30,dc,66,Bosnia and Herzegovina,UEFA,0.6618,-0.5672,1.229,1.3488
2026-06-30,dc,67,Finland,UEFA,0.6132,-0.5746,1.1878,1.3827
2026-06-30,dc,68,Jordan,AFC,0.7529,-0.3868,1.1397,1.0235
2026-06-30,dc,69,Cape Verde,CAF,0.5047,-0.629,1.1337,0.9485
2026-06-30,dc,70,Angola,CAF,0.4335,-0.6747,1.1082,0.8565
2026-06-30,dc,71,Saudi Arabia,AFC,0.4612,-0.646,1.1072,1.1052
2026-06-30,dc,72,Panama,CONCACAF,0.6474,-0.4545,1.1019,0.9985
2026-06-30,dc,73,Guinea,CAF,0.5357,-0.5132,1.0489,0.8125
2026-06-30,dc,74,North Macedonia,UEFA,0.4948,-0.5379,1.0327,1.0841
2026-06-30,dc,75,Costa Rica,CONCACAF,0.59,-0.4154,1.0054,0.953
2026-06-30,dc,76,United Arab Emirates,AFC,0.5358,-0.4435,0.9793,0.7302
2026-06-30,dc,77,Bolivia,CONMEBOL,0.5736,-0.3818,0.9554,1.7976
2026-06-30,dc,78,Iraq,AFC,0.4171,-0.529,0.9461,0.8887
2026-06-30,dc,79,Belarus,UEFA,0.5771,-0.3301,0.9072,1.1485
2026-06-30,dc,80,Benin,CAF,0.465,-0.3784,0.8434,1.0518
2026-06-30,dc,81,Gambia,CAF,0.6736,-0.1695,0.843,0.7339
2026-06-30,dc,82,Montenegro,UEFA,0.4801,-0.3587,0.8388,1.0643
2026-06-30,dc,83,Togo,CAF,0.4355,-0.3914,0.8269,0.8394
2026-06-30,dc,84,Haiti,CONCACAF,0.6023,-0.2141,0.8164,0.4349
2026-06-30,dc,85,Gabon,CAF,0.5961,-0.2068,0.8029,0.8168
2026-06-30,dc,86,New Zealand,OFC,0.3632,-0.4379,0.8012,0.8303
2026-06-30,dc,87,Zambia,CAF,0.5289,-0.2622,0.791,1.0548
2026-06-30,dc,88,Libya,CAF,0.3649,-0.4256,0.7905,0.7013
2026-06-30,dc,89,Bulgaria,UEFA,0.4382,-0.3089,0.7471,1.1753
2026-06-30,dc,90,Zimbabwe,CAF,0.3293,-0.3774,0.7067,0.8748
2026-06-30,dc,91,Qatar,AFC,0.55,-0.1512,0.7012,0.8738
2026-06-30,dc,92,Rwanda,CAF,0.0624,-0.6379,0.7003,0.8823
2026-06-30,dc,93,Niger,CAF,0.4662,-0.2239,0.6901,0.8339
2026-06-30,dc,94,Réunion,,0.1361,-0.5429,0.679,0.1451
2026-06-30,dc,95,Oman,AFC,0.1866,-0.478,0.6647,0.5963
