as_of,engine,rank,team,confederation,attack,defence,rating,opp_rating
2026-06-25,dc,1,Argentina,CONMEBOL,1.4331,-1.8077,3.2407,1.6449
2026-06-25,dc,2,Spain,UEFA,1.5759,-1.4172,2.9931,1.8124
2026-06-25,dc,3,Brazil,CONMEBOL,1.5435,-1.2742,2.8178,1.949
2026-06-25,dc,4,England,UEFA,1.3495,-1.4497,2.7992,1.5547
2026-06-25,dc,5,France,UEFA,1.4757,-1.2527,2.7284,1.8639
2026-06-25,dc,6,Portugal,UEFA,1.4806,-1.2267,2.7073,1.6441
2026-06-25,dc,7,Colombia,CONMEBOL,1.4073,-1.2144,2.6217,1.887
2026-06-25,dc,8,Netherlands,UEFA,1.4703,-1.1075,2.5778,1.7074
2026-06-25,dc,9,Germany,UEFA,1.5493,-1.0061,2.5554,1.7808
2026-06-25,dc,10,Morocco,CAF,1.0441,-1.4709,2.5151,1.0925
2026-06-25,dc,11,Belgium,UEFA,1.3657,-1.1377,2.5034,1.5149
2026-06-25,dc,12,Japan,AFC,1.2233,-1.1907,2.414,1.2251
2026-06-25,dc,13,Denmark,UEFA,1.2004,-1.2126,2.4131,1.6494
2026-06-25,dc,14,Norway,UEFA,1.3773,-0.965,2.3423,1.4734
2026-06-25,dc,15,Switzerland,UEFA,1.3018,-0.9972,2.299,1.7286
2026-06-25,dc,16,Italy,UEFA,1.1982,-1.0804,2.2786,1.6737
2026-06-25,dc,17,Ecuador,CONMEBOL,0.8419,-1.4189,2.2607,1.7878
2026-06-25,dc,18,Uruguay,CONMEBOL,0.998,-1.2439,2.242,1.8024
2026-06-25,dc,19,Croatia,UEFA,1.1855,-1.0211,2.2066,1.7294
2026-06-25,dc,20,Austria,UEFA,1.1273,-1.0557,2.183,1.4341
2026-06-25,dc,21,Mexico,CONCACAF,1.0054,-1.0685,2.0738,1.4682
2026-06-25,dc,22,Senegal,CAF,1.0759,-0.9738,2.0496,1.14
2026-06-25,dc,23,Algeria,CAF,1.1231,-0.923,2.0462,0.9735
2026-06-25,dc,24,Greece,UEFA,0.9437,-1.0148,1.9584,1.5415
2026-06-25,dc,25,Australia,AFC,0.9154,-1.0346,1.95,1.1869
2026-06-25,dc,26,Russia,UEFA,0.883,-1.0557,1.9388,0.9985
2026-06-25,dc,27,Turkey,UEFA,1.1629,-0.7539,1.9168,1.5541
2026-06-25,dc,28,Iran,AFC,0.9806,-0.9134,1.894,0.931
2026-06-25,dc,29,Canada,CONCACAF,0.9127,-0.9749,1.8875,1.2826
2026-06-25,dc,30,Ivory Coast,CAF,0.838,-1.0478,1.8858,1.027
2026-06-25,dc,31,Sweden,UEFA,1.2258,-0.619,1.8448,1.628
2026-06-25,dc,32,Paraguay,CONMEBOL,0.8344,-0.9945,1.8289,1.9416
2026-06-25,dc,33,Chile,CONMEBOL,1.0036,-0.797,1.8007,1.8721
2026-06-25,dc,34,Ukraine,UEFA,1.0445,-0.7542,1.7987,1.625
2026-06-25,dc,35,United States,CONCACAF,1.0281,-0.764,1.792,1.4621
2026-06-25,dc,36,Scotland,UEFA,0.9509,-0.8096,1.7605,1.6571
2026-06-25,dc,37,Egypt,CAF,0.7436,-1.0104,1.754,1.0743
2026-06-25,dc,38,Poland,UEFA,0.9875,-0.7324,1.7199,1.5185
2026-06-25,dc,39,South Korea,AFC,0.914,-0.8042,1.7181,1.1073
2026-06-25,dc,40,Nigeria,CAF,0.935,-0.7622,1.6972,1.0853
2026-06-25,dc,41,Mali,CAF,0.647,-1.0441,1.6911,0.8898
2026-06-25,dc,42,Czech Republic,UEFA,0.9794,-0.7018,1.6812,1.3144
2026-06-25,dc,43,Serbia,UEFA,0.913,-0.7629,1.6759,1.5879
2026-06-25,dc,44,Venezuela,CONMEBOL,0.9017,-0.7717,1.6734,1.8289
2026-06-25,dc,45,Hungary,UEFA,0.8225,-0.8052,1.6276,1.5458
2026-06-25,dc,46,DR Congo,CAF,0.5357,-1.0606,1.5963,1.0835
2026-06-25,dc,47,Kosovo,UEFA,0.8382,-0.7352,1.5734,1.2525
2026-06-25,dc,48,Slovenia,UEFA,0.6105,-0.9601,1.5706,1.4384
2026-06-25,dc,49,Peru,CONMEBOL,0.6226,-0.924,1.5466,1.8967
2026-06-25,dc,50,Republic of Ireland,UEFA,0.6265,-0.9147,1.5413,1.4309
2026-06-25,dc,51,Romania,UEFA,0.767,-0.7666,1.5336,1.1404
2026-06-25,dc,52,Slovakia,UEFA,0.767,-0.7612,1.5282,1.3108
2026-06-25,dc,53,Georgia,UEFA,0.8692,-0.6551,1.5243,1.361
2026-06-25,dc,54,Wales,UEFA,0.7547,-0.7679,1.5226,1.3446
2026-06-25,dc,55,Cameroon,CAF,0.6265,-0.8618,1.4882,1.0128
2026-06-25,dc,56,Israel,UEFA,1.024,-0.4254,1.4494,1.4372
2026-06-25,dc,57,Tunisia,CAF,0.6757,-0.7384,1.414,1.1143
2026-06-25,dc,58,Northern Ireland,UEFA,0.6107,-0.7951,1.4058,1.4168
2026-06-25,dc,59,Uzbekistan,AFC,0.6274,-0.714,1.3414,1.0327
2026-06-25,dc,60,Iceland,UEFA,0.8367,-0.4705,1.3072,1.4938
2026-06-25,dc,61,Burkina Faso,CAF,0.8144,-0.4912,1.3056,0.8864
2026-06-25,dc,62,Albania,UEFA,0.4045,-0.8755,1.28,1.2
2026-06-25,dc,63,Ghana,CAF,0.5994,-0.6771,1.2765,1.1876
2026-06-25,dc,64,South Africa,CAF,0.5571,-0.7077,1.2648,0.8626
2026-06-25,dc,65,Zanzibar,CAF,0.2283,-1.0189,1.2473,0.8216
2026-06-25,dc,66,Bosnia and Herzegovina,UEFA,0.6652,-0.5702,1.2354,1.3563
2026-06-25,dc,67,Finland,UEFA,0.6177,-0.5784,1.1961,1.3912
2026-06-25,dc,68,Jordan,AFC,0.7561,-0.3966,1.1527,0.9941
2026-06-25,dc,69,Cape Verde,CAF,0.5255,-0.601,1.1265,0.9394
2026-06-25,dc,70,Saudi Arabia,AFC,0.4868,-0.6337,1.1205,1.119
2026-06-25,dc,71,Panama,CONCACAF,0.659,-0.4512,1.1102,0.9668
2026-06-25,dc,72,Angola,CAF,0.4294,-0.6696,1.099,0.8491
2026-06-25,dc,73,Iraq,AFC,0.4381,-0.6089,1.0469,0.8753
2026-06-25,dc,74,North Macedonia,UEFA,0.4961,-0.5377,1.0338,1.0876
2026-06-25,dc,75,Guinea,CAF,0.5311,-0.5016,1.0327,0.8009
2026-06-25,dc,76,Costa Rica,CONCACAF,0.5946,-0.4231,1.0177,0.9632
2026-06-25,dc,77,United Arab Emirates,AFC,0.5501,-0.4517,1.0018,0.7555
2026-06-25,dc,78,Bolivia,CONMEBOL,0.5789,-0.3855,0.9643,1.8062
2026-06-25,dc,79,Belarus,UEFA,0.5794,-0.3327,0.9122,1.1542
2026-06-25,dc,80,New Zealand,OFC,0.3512,-0.5152,0.8664,0.771
2026-06-25,dc,81,Montenegro,UEFA,0.4828,-0.3576,0.8404,1.0688
2026-06-25,dc,82,Gambia,CAF,0.6692,-0.1611,0.8304,0.7235
2026-06-25,dc,83,Haiti,CONCACAF,0.6097,-0.2161,0.8258,0.4461
2026-06-25,dc,84,Benin,CAF,0.4578,-0.3672,0.825,1.0353
2026-06-25,dc,85,Togo,CAF,0.4291,-0.3761,0.8052,0.8237
