as_of,engine,rank,team,confederation,attack,defence,rating,opp_rating
2026-06-22,dc,1,Argentina,CONMEBOL,1.4189,-1.769,3.1879,1.6167
2026-06-22,dc,2,Spain,UEFA,1.5742,-1.4132,2.9874,1.8072
2026-06-22,dc,3,England,UEFA,1.3746,-1.4283,2.8028,1.5595
2026-06-22,dc,4,Brazil,CONMEBOL,1.5266,-1.2448,2.7714,1.9457
2026-06-22,dc,5,France,UEFA,1.4646,-1.236,2.7007,1.8803
2026-06-22,dc,6,Portugal,UEFA,1.442,-1.2061,2.6481,1.6465
2026-06-22,dc,7,Colombia,CONMEBOL,1.4094,-1.1909,2.6003,1.8832
2026-06-22,dc,8,Netherlands,UEFA,1.4728,-1.1037,2.5764,1.706
2026-06-22,dc,9,Morocco,CAF,1.021,-1.5444,2.5654,1.0893
2026-06-22,dc,10,Germany,UEFA,1.5432,-1.002,2.5452,1.7703
2026-06-22,dc,11,Belgium,UEFA,1.3622,-1.1365,2.4988,1.5098
2026-06-22,dc,12,Japan,AFC,1.223,-1.192,2.4151,1.2242
2026-06-22,dc,13,Denmark,UEFA,1.1997,-1.2103,2.41,1.6465
2026-06-22,dc,14,Norway,UEFA,1.3571,-0.995,2.3521,1.4558
2026-06-22,dc,15,Switzerland,UEFA,1.2915,-0.9894,2.2809,1.7184
2026-06-22,dc,16,Italy,UEFA,1.196,-1.0765,2.2725,1.6667
2026-06-22,dc,17,Ecuador,CONMEBOL,0.836,-1.4113,2.2473,1.7736
2026-06-22,dc,18,Uruguay,CONMEBOL,0.9913,-1.2387,2.23,1.7891
2026-06-22,dc,19,Austria,UEFA,1.1322,-1.0715,2.2038,1.3702
2026-06-22,dc,20,Croatia,UEFA,1.2031,-0.998,2.2011,1.7427
2026-06-22,dc,21,Senegal,CAF,1.0584,-1.0213,2.0796,1.1009
2026-06-22,dc,22,Algeria,CAF,1.1194,-0.9239,2.0433,0.9608
2026-06-22,dc,23,Mexico,CONCACAF,0.9805,-1.0428,2.0233,1.4535
2026-06-22,dc,24,Greece,UEFA,0.9426,-1.0158,1.9584,1.5404
2026-06-22,dc,25,Australia,AFC,0.9171,-1.0339,1.951,1.1872
2026-06-22,dc,26,Russia,UEFA,0.8833,-1.0556,1.9389,0.9979
2026-06-22,dc,27,Turkey,UEFA,1.1619,-0.7513,1.9132,1.5505
2026-06-22,dc,28,Iran,AFC,0.9925,-0.9167,1.9092,0.9493
2026-06-22,dc,29,Canada,CONCACAF,0.9136,-0.9892,1.9028,1.2471
2026-06-22,dc,30,Ivory Coast,CAF,0.8333,-1.0444,1.8778,1.0205
2026-06-22,dc,31,Sweden,UEFA,1.2248,-0.6138,1.8387,1.6237
2026-06-22,dc,32,Paraguay,CONMEBOL,0.8267,-0.9879,1.8146,1.9275
2026-06-22,dc,33,Ukraine,UEFA,1.0435,-0.7523,1.7958,1.6224
2026-06-22,dc,34,Scotland,UEFA,0.9663,-0.828,1.7943,1.6186
2026-06-22,dc,35,Chile,CONMEBOL,0.9947,-0.7883,1.7829,1.8541
2026-06-22,dc,36,United States,CONCACAF,1.0248,-0.7574,1.7822,1.4523
2026-06-22,dc,37,Egypt,CAF,0.7409,-1.0062,1.7472,1.069
2026-06-22,dc,38,South Korea,AFC,0.9341,-0.8086,1.7427,1.1026
2026-06-22,dc,39,Czech Republic,UEFA,0.9927,-0.7338,1.7265,1.2874
2026-06-22,dc,40,Poland,UEFA,0.9865,-0.73,1.7164,1.5146
2026-06-22,dc,41,Nigeria,CAF,0.9264,-0.7549,1.6813,1.0717
2026-06-22,dc,42,Mali,CAF,0.6407,-1.04,1.6808,0.8813
2026-06-22,dc,43,Serbia,UEFA,0.9118,-0.761,1.6728,1.5838
2026-06-22,dc,44,Venezuela,CONMEBOL,0.8992,-0.766,1.6652,1.8194
2026-06-22,dc,45,Hungary,UEFA,0.8196,-0.8,1.6196,1.5382
2026-06-22,dc,46,DR Congo,CAF,0.5452,-1.0332,1.5784,1.031
2026-06-22,dc,47,Kosovo,UEFA,0.8369,-0.7328,1.5698,1.2496
2026-06-22,dc,48,Slovenia,UEFA,0.609,-0.9563,1.5652,1.4334
2026-06-22,dc,49,Republic of Ireland,UEFA,0.6272,-0.9089,1.5361,1.4268
2026-06-22,dc,50,Peru,CONMEBOL,0.6188,-0.9164,1.5351,1.883
