as_of,engine,rank,team,confederation,attack,defence,rating,opp_rating
2026-06-24,dc,1,Argentina,CONMEBOL,1.4312,-1.8056,3.2368,1.6414
2026-06-24,dc,2,Spain,UEFA,1.5795,-1.4202,2.9997,1.8192
2026-06-24,dc,3,England,UEFA,1.3523,-1.4528,2.8051,1.5602
2026-06-24,dc,4,Brazil,CONMEBOL,1.5332,-1.2479,2.7811,1.9561
2026-06-24,dc,5,France,UEFA,1.4787,-1.2551,2.7338,1.869
2026-06-24,dc,6,Portugal,UEFA,1.4851,-1.2293,2.7144,1.6512
2026-06-24,dc,7,Colombia,CONMEBOL,1.405,-1.2127,2.6177,1.8828
2026-06-24,dc,8,Netherlands,UEFA,1.4746,-1.11,2.5846,1.7133
2026-06-24,dc,9,Morocco,CAF,1.0232,-1.5489,2.572,1.0945
2026-06-24,dc,10,Germany,UEFA,1.552,-1.0078,2.5598,1.7846
2026-06-24,dc,11,Belgium,UEFA,1.3689,-1.1403,2.5092,1.5207
2026-06-24,dc,12,Denmark,UEFA,1.206,-1.2172,2.4232,1.6593
2026-06-24,dc,13,Japan,AFC,1.2251,-1.1923,2.4174,1.228
2026-06-24,dc,14,Norway,UEFA,1.3826,-0.968,2.3506,1.4832
2026-06-24,dc,15,Switzerland,UEFA,1.2971,-0.9959,2.293,1.7298
2026-06-24,dc,16,Italy,UEFA,1.2019,-1.0821,2.284,1.6783
2026-06-24,dc,17,Ecuador,CONMEBOL,0.8408,-1.4158,2.2566,1.7846
2026-06-24,dc,18,Uruguay,CONMEBOL,0.9955,-1.2418,2.2373,1.7979
2026-06-24,dc,19,Croatia,UEFA,1.1914,-1.0244,2.2158,1.7388
2026-06-24,dc,20,Austria,UEFA,1.1305,-1.0578,2.1883,1.4389
2026-06-24,dc,21,Senegal,CAF,1.074,-0.9715,2.0455,1.1369
2026-06-24,dc,22,Algeria,CAF,1.121,-0.9217,2.0427,0.9702
2026-06-24,dc,23,Mexico,CONCACAF,0.9872,-1.0469,2.0341,1.4636
2026-06-24,dc,24,Greece,UEFA,0.9491,-1.0199,1.969,1.552
2026-06-24,dc,25,Australia,AFC,0.917,-1.0356,1.9525,1.1891
2026-06-24,dc,26,Russia,UEFA,0.8852,-1.0576,1.9428,1.0019
2026-06-24,dc,27,Turkey,UEFA,1.1669,-0.7574,1.9243,1.5611
2026-06-24,dc,28,Canada,CONCACAF,0.9161,-0.9928,1.9089,1.2536
2026-06-24,dc,29,Iran,AFC,0.9838,-0.9154,1.8992,0.9359
2026-06-24,dc,30,Ivory Coast,CAF,0.8363,-1.048,1.8843,1.0264
2026-06-24,dc,31,Sweden,UEFA,1.229,-0.622,1.851,1.634
2026-06-24,dc,32,Paraguay,CONMEBOL,0.8328,-0.9921,1.8248,1.939
2026-06-24,dc,33,Ukraine,UEFA,1.05,-0.7581,1.8082,1.6348
2026-06-24,dc,34,Scotland,UEFA,0.9724,-0.8346,1.807,1.6307
2026-06-24,dc,35,Chile,CONMEBOL,1.0024,-0.7952,1.7976,1.869
2026-06-24,dc,36,United States,CONCACAF,1.0289,-0.7621,1.791,1.4602
2026-06-24,dc,37,Egypt,CAF,0.7415,-1.0093,1.7508,1.0709
2026-06-24,dc,38,South Korea,AFC,0.9348,-0.8102,1.745,1.1043
2026-06-24,dc,39,Czech Republic,UEFA,0.9981,-0.74,1.7381,1.2991
2026-06-24,dc,40,Poland,UEFA,0.9923,-0.7367,1.7291,1.5275
2026-06-24,dc,41,Nigeria,CAF,0.9315,-0.7601,1.6916,1.0805
2026-06-24,dc,42,Mali,CAF,0.6446,-1.0416,1.6862,0.887
2026-06-24,dc,43,Serbia,UEFA,0.9158,-0.7648,1.6806,1.5922
