as_of,engine,rank,team,confederation,attack,defence,rating,opp_rating
2026-06-17,dc,74,North Macedonia,UEFA,0.5009,-0.5427,1.0436,1.0976
2026-06-17,dc,75,United Arab Emirates,AFC,0.5709,-0.4656,1.0365,0.7901
2026-06-17,dc,76,Guinea,CAF,0.5253,-0.496,1.0213,0.7894
2026-06-17,dc,77,Costa Rica,CONCACAF,0.5844,-0.416,1.0004,0.9447
2026-06-17,dc,78,Bolivia,CONMEBOL,0.5705,-0.3842,0.9547,1.7983
2026-06-17,dc,79,Belarus,UEFA,0.5836,-0.3373,0.9209,1.1633
2026-06-17,dc,80,New Zealand,OFC,0.3403,-0.5755,0.9159,0.7386
2026-06-17,dc,81,Montenegro,UEFA,0.4893,-0.3638,0.8531,1.0823
2026-06-17,dc,82,Gambia,CAF,0.6682,-0.1606,0.8289,0.7242
2026-06-17,dc,83,Qatar,AFC,0.5827,-0.2446,0.8273,0.8781
2026-06-17,dc,84,Haiti,CONCACAF,0.5831,-0.2393,0.8224,0.2719
2026-06-17,dc,85,Benin,CAF,0.452,-0.3582,0.8102,1.0234
2026-06-17,dc,86,Togo,CAF,0.4248,-0.3692,0.7939,0.8141
2026-06-17,dc,87,Gabon,CAF,0.5907,-0.1934,0.784,0.8049
2026-06-17,dc,88,Libya,CAF,0.3592,-0.4178,0.777,0.6903
2026-06-17,dc,89,Zambia,CAF,0.5197,-0.2491,0.7688,1.0379
2026-06-17,dc,90,Bulgaria,UEFA,0.442,-0.3149,0.7569,1.1849
2026-06-17,dc,91,Oman,AFC,0.2126,-0.4999,0.7125,0.6465
2026-06-17,dc,92,Zimbabwe,CAF,0.3204,-0.3651,0.6854,0.8542
2026-06-17,dc,93,Rwanda,CAF,0.052,-0.6228,0.6747,0.8605
2026-06-17,dc,94,Réunion,,0.1312,-0.5387,0.6699,0.1353
2026-06-17,dc,95,Niger,CAF,0.4545,-0.2099,0.6644,0.8137
2026-06-17,dc,96,Mayotte,,-0.4126,-1.0605,0.6478,0.1148
2026-06-17,dc,97,Honduras,CONCACAF,0.2773,-0.3698,0.6471,0.7383
2026-06-17,dc,98,Uganda,CAF,0.3039,-0.3139,0.6178,0.7804
2026-06-17,dc,99,Kazakhstan,UEFA,0.3278,-0.2853,0.6131,1.0373
2026-06-17,dc,100,Syria,AFC,0.3385,-0.2741,0.6126,0.4339
2026-06-17,dc,101,Comoros,CAF,0.3707,-0.2342,0.6049,0.7685
2026-06-17,dc,102,Palestine,AFC,0.1577,-0.4441,0.6018,0.6027
2026-06-17,dc,103,Madagascar,CAF,0.5137,-0.0872,0.601,0.7191
2026-06-17,dc,104,Bahrain,AFC,0.3097,-0.2906,0.6003,0.7001
2026-06-17,dc,105,Faroe Islands,UEFA,0.1561,-0.44,0.5961,0.8522
2026-06-17,dc,106,Luxembourg,UEFA,0.0928,-0.5025,0.5953,1.4159
2026-06-17,dc,107,Jamaica,CONCACAF,0.1795,-0.4149,0.5944,0.4536
2026-06-17,dc,108,Mozambique,CAF,0.4034,-0.1385,0.5419,0.8184
2026-06-17,dc,109,Mauritania,CAF,0.04,-0.4863,0.5264,1.0221
2026-06-17,dc,110,Estonia,UEFA,0.2355,-0.285,0.5205,1.1228
2026-06-17,dc,111,Cyprus,UEFA,0.3757,-0.1324,0.5081,1.0259
2026-06-17,dc,112,North Korea,AFC,0.3317,-0.1747,0.5064,0.7527
2026-06-17,dc,113,Armenia,UEFA,0.4413,-0.0556,0.4969,1.2457
2026-06-17,dc,114,China,AFC,0.1745,-0.3147,0.4891,0.6785
2026-06-17,dc,115,Tanzania,CAF,-0.0161,-0.4649,0.4488,0.7763
2026-06-17,dc,116,Equatorial Guinea,CAF,0.1072,-0.3096,0.4168,0.7307
2026-06-17,dc,117,Guatemala,CONCACAF,0.3052,-0.1026,0.4078,0.5452
