as_of,engine,rank,team,confederation,attack,defence,rating,opp_rating,elo
2026-06-28,elo,1,Argentina,CONMEBOL,0.661,-0.5651,1.2261,0.5227,2143.7
2026-06-28,elo,2,France,UEFA,0.6229,-0.5269,1.1499,0.5018,2104.0
2026-06-28,elo,3,Spain,UEFA,0.6173,-0.5213,1.1386,0.4933,2102.7
2026-06-28,elo,4,Colombia,CONMEBOL,0.5526,-0.4566,1.0092,0.6596,2033.7
2026-06-28,elo,5,Brazil,CONMEBOL,0.563,-0.467,1.0301,0.6598,2029.9
2026-06-28,elo,6,England,UEFA,0.5372,-0.4413,0.9785,0.343,2012.8
2026-06-28,elo,7,Morocco,CAF,0.5078,-0.4118,0.9196,0.2365,1991.8
2026-06-28,elo,8,Netherlands,UEFA,0.4992,-0.4032,0.9024,0.4067,1973.0
2026-06-28,elo,9,Mexico,CONCACAF,0.4962,-0.4002,0.8964,0.5056,1972.2
2026-06-28,elo,10,Portugal,UEFA,0.4983,-0.4024,0.9007,0.4251,1969.6
2026-06-28,elo,11,Japan,AFC,0.4807,-0.3847,0.8654,0.3885,1959.8
2026-06-28,elo,12,Germany,UEFA,0.4649,-0.3689,0.8339,0.4925,1933.6
2026-06-28,elo,13,Ecuador,CONMEBOL,0.4544,-0.3584,0.8128,0.6335,1933.1
2026-06-28,elo,14,Switzerland,UEFA,0.4328,-0.3368,0.7696,0.4237,1905.1
2026-06-28,elo,15,Belgium,UEFA,0.4442,-0.3483,0.7925,0.3389,1903.1
2026-06-28,elo,16,Norway,UEFA,0.4066,-0.3107,0.7173,0.2949,1894.3
2026-06-28,elo,17,Australia,AFC,0.4146,-0.3186,0.7332,0.4022,1886.1
2026-06-28,elo,18,Croatia,UEFA,0.4139,-0.3179,0.7318,0.4262,1881.2
2026-06-28,elo,19,Senegal,CAF,0.4022,-0.3062,0.7083,0.2492,1871.4
2026-06-28,elo,20,Iran,AFC,0.4066,-0.3106,0.7171,0.2597,1870.3
2026-06-28,elo,21,Uruguay,CONMEBOL,0.4005,-0.3045,0.705,0.6397,1859.8
2026-06-28,elo,22,Nigeria,CAF,0.3748,-0.2788,0.6536,0.2321,1851.9
2026-06-28,elo,23,Algeria,CAF,0.3819,-0.2859,0.6678,0.1886,1850.0
2026-06-28,elo,24,Turkey,UEFA,0.3637,-0.2677,0.6314,0.3297,1839.7
2026-06-28,elo,25,Ivory Coast,CAF,0.3644,-0.2684,0.6328,0.2152,1839.5
2026-06-28,elo,26,Paraguay,CONMEBOL,0.3615,-0.2655,0.627,0.6631,1838.2
2026-06-28,elo,27,Austria,UEFA,0.3569,-0.2609,0.6178,0.2676,1833.3
2026-06-28,elo,28,United States,CONCACAF,0.3655,-0.2695,0.635,0.5326,1832.0
2026-06-28,elo,29,Denmark,UEFA,0.3659,-0.2699,0.6358,0.365,1829.5
2026-06-28,elo,30,Egypt,CAF,0.3524,-0.2564,0.6088,0.2408,1823.6
2026-06-28,elo,31,Italy,UEFA,0.3634,-0.2674,0.6308,0.3738,1820.0
2026-06-28,elo,32,South Korea,AFC,0.3499,-0.2539,0.6038,0.3479,1812.0
2026-06-28,elo,33,Canada,CONCACAF,0.3482,-0.2522,0.6004,0.4344,1810.3
2026-06-28,elo,34,DR Congo,CAF,0.3247,-0.2287,0.5534,0.2272,1802.1
2026-06-28,elo,35,Jersey,,0.3186,-0.2226,0.5412,0.1296,1785.3
