as_of,engine,rank,team,confederation,attack,defence,rating,opp_rating
2026-06-16,bayes,1,Argentina,CONMEBOL,1.081,-1.3363,2.4173,1.0116
2026-06-16,bayes,2,Spain,UEFA,1.2073,-0.9874,2.1947,1.198
2026-06-16,bayes,3,Brazil,CONMEBOL,1.1598,-0.9237,2.0834,1.3385
2026-06-16,bayes,4,England,UEFA,0.9787,-1.0744,2.0532,0.9482
2026-06-16,bayes,5,Portugal,UEFA,1.1019,-0.8602,1.9621,1.0327
2026-06-16,bayes,6,France,UEFA,1.0779,-0.8681,1.946,1.2388
2026-06-16,bayes,7,Colombia,CONMEBOL,1.0178,-0.892,1.9098,1.2557
2026-06-16,bayes,8,Netherlands,UEFA,1.0818,-0.7255,1.8073,1.0845
2026-06-16,bayes,9,Morocco,CAF,0.7152,-1.0918,1.807,0.5508
2026-06-16,bayes,10,Germany,UEFA,1.1471,-0.6588,1.8058,1.1215
2026-06-16,bayes,11,Belgium,UEFA,1.0367,-0.762,1.7987,0.9114
2026-06-16,bayes,12,Norway,UEFA,0.9761,-0.6837,1.6598,0.8843
2026-06-16,bayes,13,Ecuador,CONMEBOL,0.5686,-1.0683,1.6369,1.1785
2026-06-16,bayes,14,Denmark,UEFA,0.8585,-0.7702,1.6287,1.0393
2026-06-16,bayes,15,Japan,AFC,0.8681,-0.7597,1.6278,0.6666
2026-06-16,bayes,16,Uruguay,CONMEBOL,0.6486,-0.9791,1.6277,1.174
2026-06-16,bayes,17,Italy,UEFA,0.8483,-0.7295,1.5779,1.0566
2026-06-16,bayes,18,Croatia,UEFA,0.8472,-0.7217,1.569,1.1067
2026-06-16,bayes,19,Switzerland,UEFA,0.891,-0.6636,1.5546,1.1056
2026-06-16,bayes,20,Austria,UEFA,0.7868,-0.7415,1.5283,0.8087
2026-06-16,bayes,21,Algeria,CAF,0.8379,-0.6588,1.4967,0.4155
2026-06-16,bayes,22,Senegal,CAF,0.7468,-0.738,1.4848,0.537
2026-06-16,bayes,23,Russia,UEFA,0.6099,-0.7307,1.3406,0.4905
2026-06-16,bayes,24,Turkey,UEFA,0.8314,-0.4611,1.2925,0.9461
2026-06-16,bayes,25,Greece,UEFA,0.5937,-0.6895,1.2832,0.9438
2026-06-16,bayes,26,Ivory Coast,CAF,0.5401,-0.7222,1.2623,0.4764
2026-06-16,bayes,27,Australia,AFC,0.5892,-0.6594,1.2485,0.6287
2026-06-16,bayes,28,Sweden,UEFA,0.8599,-0.385,1.245,0.9934
2026-06-16,bayes,29,Mexico,CONCACAF,0.6026,-0.6292,1.2318,0.8209
2026-06-16,bayes,30,Chile,CONMEBOL,0.6603,-0.5399,1.2002,1.2401
2026-06-16,bayes,31,Iran,AFC,0.693,-0.5061,1.1992,0.4084
2026-06-16,bayes,32,Paraguay,CONMEBOL,0.5059,-0.6899,1.1958,1.2839
2026-06-16,bayes,33,Ukraine,UEFA,0.7027,-0.4585,1.1613,1.0128
2026-06-16,bayes,34,Egypt,CAF,0.446,-0.697,1.1429,0.5618
2026-06-16,bayes,35,Scotland,UEFA,0.6288,-0.5138,1.1426,0.9838
2026-06-16,bayes,36,Czech Republic,UEFA,0.6923,-0.434,1.1263,0.7363
2026-06-16,bayes,37,Nigeria,CAF,0.6457,-0.474,1.1198,0.5428
2026-06-16,bayes,38,Venezuela,CONMEBOL,0.5712,-0.5186,1.0899,1.1847
2026-06-16,bayes,39,Poland,UEFA,0.6398,-0.4393,1.0791,0.9321
2026-06-16,bayes,40,South Korea,AFC,0.6264,-0.4499,1.0763,0.5476
2026-06-16,bayes,41,Canada,CONCACAF,0.5019,-0.5558,1.0578,0.6714
2026-06-16,bayes,42,Mali,CAF,0.3487,-0.6882,1.0369,0.3942
2026-06-16,bayes,43,Serbia,UEFA,0.5711,-0.4638,1.035,0.9814
2026-06-16,bayes,44,United States,CONCACAF,0.6337,-0.3573,0.991,0.8203
2026-06-16,bayes,45,Peru,CONMEBOL,0.331,-0.6566,0.9876,1.2624
2026-06-16,bayes,46,Hungary,UEFA,0.4835,-0.4965,0.98,0.9481
2026-06-16,bayes,47,Kosovo,UEFA,0.5175,-0.4584,0.9759,0.7011
2026-06-16,bayes,48,Slovenia,UEFA,0.3328,-0.6407,0.9735,0.8557
2026-06-16,bayes,49,Romania,UEFA,0.4691,-0.4808,0.9499,0.602
2026-06-16,bayes,50,Georgia,UEFA,0.5609,-0.3855,0.9464,0.8061
2026-06-16,bayes,51,Republic of Ireland,UEFA,0.3305,-0.6054,0.9359,0.8473
2026-06-16,bayes,52,DR Congo,CAF,0.2621,-0.6667,0.9288,0.4791
2026-06-16,bayes,53,Wales,UEFA,0.4382,-0.4861,0.9243,0.7747
2026-06-16,bayes,54,Slovakia,UEFA,0.4589,-0.4503,0.9093,0.7528
2026-06-16,bayes,55,Tunisia,CAF,0.3863,-0.5057,0.892,0.5613
2026-06-16,bayes,56,Cameroon,CAF,0.3232,-0.5441,0.8673,0.4975
2026-06-16,bayes,57,Isle of Man,,0.8496,-0.0041,0.8538,-0.068
2026-06-16,bayes,58,Israel,UEFA,0.6822,-0.1693,0.8515,0.8561
2026-06-16,bayes,59,Uzbekistan,AFC,0.3165,-0.4957,0.8122,0.4258
2026-06-16,bayes,60,Northern Ireland,UEFA,0.2983,-0.5011,0.7994,0.8332
2026-06-16,bayes,61,Burkina Faso,CAF,0.5236,-0.2564,0.78,0.392
2026-06-16,bayes,62,Albania,UEFA,0.1428,-0.5818,0.7246,0.6675
2026-06-16,bayes,63,Iceland,UEFA,0.5079,-0.198,0.7059,0.8915
2026-06-16,bayes,64,Bosnia and Herzegovina,UEFA,0.3179,-0.3362,0.6541,0.7676
2026-06-16,bayes,65,South Africa,CAF,0.2568,-0.3891,0.646,0.3164
2026-06-16,bayes,66,Ghana,CAF,0.3053,-0.3116,0.6169,0.5877
2026-06-16,bayes,67,Finland,UEFA,0.3068,-0.3094,0.6162,0.8183
2026-06-16,bayes,68,Jersey,,0.5387,-0.0662,0.6049,0.2096
2026-06-16,bayes,69,Jordan,AFC,0.4537,-0.1305,0.5843,0.4405
2026-06-16,bayes,70,Cape Verde,CAF,0.2183,-0.3641,0.5825,0.412
2026-06-16,bayes,71,Saudi Arabia,AFC,0.1999,-0.3587,0.5587,0.5612
2026-06-16,bayes,72,Angola,CAF,0.1506,-0.4035,0.5541,0.3505
2026-06-16,bayes,73,Iraq,AFC,0.159,-0.3795,0.5384,0.3244
2026-06-16,bayes,74,Guinea,CAF,0.2672,-0.2628,0.5299,0.3395
2026-06-16,bayes,75,North Macedonia,UEFA,0.2312,-0.2903,0.5214,0.5677
2026-06-16,bayes,76,Ynys Môn,,0.2102,-0.2952,0.5055,0.2753
2026-06-16,bayes,77,New Zealand,OFC,0.2636,-0.2188,0.4824,0.4146
2026-06-16,bayes,78,Panama,CONCACAF,0.3574,-0.1011,0.4585,0.3549
2026-06-16,bayes,79,United Arab Emirates,AFC,0.2555,-0.1802,0.4357,0.2904
2026-06-16,bayes,80,Bolivia,CONMEBOL,0.2883,-0.1353,0.4235,1.1799
2026-06-16,bayes,81,Belarus,UEFA,0.3013,-0.1105,0.4118,0.6157
2026-06-16,bayes,82,Costa Rica,CONCACAF,0.2891,-0.0942,0.3832,0.4017
2026-06-16,bayes,83,Zanzibar,CAF,-0.0452,-0.4073,0.3621,0.3597
2026-06-16,bayes,84,Gambia,CAF,0.3848,0.0302,0.3546,0.2658
2026-06-16,bayes,85,Haiti,CONCACAF,0.3742,0.024,0.3502,-0.1305
2026-06-16,bayes,86,Montenegro,UEFA,0.2097,-0.1394,0.3491,0.5604
2026-06-16,bayes,87,Bulgaria,UEFA,0.22,-0.0816,0.3016,0.654
2026-06-16,bayes,88,Togo,CAF,0.1379,-0.1608,0.2987,0.3493
2026-06-16,bayes,89,Libya,CAF,0.0886,-0.2072,0.2958,0.2265
2026-06-16,bayes,90,Guernsey,,0.0642,-0.2307,0.2949,0.1004
