as_of,engine,rank,team,confederation,attack,defence,rating,opp_rating,elo
2026-06-15,elo,1,Spain,UEFA,0.6247,-0.5351,1.1597,0.4848,2103.8
2026-06-15,elo,2,Argentina,CONMEBOL,0.6271,-0.5375,1.1647,0.5201,2101.3
2026-06-15,elo,3,France,UEFA,0.5625,-0.4729,1.0354,0.4896,2033.1
2026-06-15,elo,4,Colombia,CONMEBOL,0.5328,-0.4432,0.9759,0.668,2006.5
2026-06-15,elo,5,Brazil,CONMEBOL,0.531,-0.4414,0.9724,0.6777,1995.3
2026-06-15,elo,6,England,UEFA,0.5171,-0.4275,0.9445,0.3341,1987.5
2026-06-15,elo,7,Morocco,CAF,0.489,-0.3995,0.8885,0.2256,1964.2
2026-06-15,elo,8,Japan,AFC,0.4881,-0.3985,0.8866,0.3979,1962.6
2026-06-15,elo,9,Germany,UEFA,0.4798,-0.3902,0.87,0.4596,1949.0
2026-06-15,elo,10,Mexico,CONCACAF,0.4747,-0.3851,0.8599,0.5247,1945.0
2026-06-15,elo,11,Portugal,UEFA,0.4718,-0.3822,0.854,0.4039,1938.9
2026-06-15,elo,12,Australia,AFC,0.4631,-0.3736,0.8367,0.3974,1936.9
2026-06-15,elo,13,Netherlands,UEFA,0.4652,-0.3756,0.8407,0.411,1933.2
2026-06-15,elo,14,Ecuador,CONMEBOL,0.4454,-0.3558,0.8013,0.6366,1918.8
2026-06-15,elo,15,Uruguay,CONMEBOL,0.4415,-0.3519,0.7934,0.6398,1907.4
2026-06-15,elo,16,Iran,AFC,0.4231,-0.3335,0.7566,0.2661,1889.2
2026-06-15,elo,17,Senegal,CAF,0.4193,-0.3297,0.749,0.2018,1888.7
2026-06-15,elo,18,Belgium,UEFA,0.4236,-0.334,0.7575,0.3099,1883.7
2026-06-15,elo,19,South Korea,AFC,0.4058,-0.3162,0.7221,0.3469,1874.4
2026-06-15,elo,20,Croatia,UEFA,0.4055,-0.3159,0.7214,0.3995,1871.6
2026-06-15,elo,21,Norway,UEFA,0.3883,-0.2987,0.687,0.251,1864.9
2026-06-15,elo,22,Nigeria,CAF,0.3794,-0.2899,0.6693,0.2223,1851.9
2026-06-15,elo,23,Switzerland,UEFA,0.385,-0.2954,0.6804,0.4362,1850.4
2026-06-15,elo,24,Algeria,CAF,0.3832,-0.2936,0.6768,0.1502,1850.3
2026-06-15,elo,25,Ivory Coast,CAF,0.3674,-0.2778,0.6453,0.1976,1838.6
2026-06-15,elo,26,Canada,CONCACAF,0.3662,-0.2766,0.6428,0.4467,1831.2
2026-06-15,elo,27,United States,CONCACAF,0.3646,-0.2751,0.6397,0.5413,1830.5
2026-06-15,elo,28,Denmark,UEFA,0.3653,-0.2757,0.6409,0.3596,1829.5
2026-06-15,elo,29,Turkey,UEFA,0.3569,-0.2674,0.6243,0.3134,1827.7
2026-06-15,elo,30,Panama,CONCACAF,0.3565,-0.2669,0.6235,0.3572,1825.6
2026-06-15,elo,31,Italy,UEFA,0.36,-0.2704,0.6304,0.3597,1820.0
2026-06-15,elo,32,Uzbekistan,AFC,0.3495,-0.2599,0.6093,0.2938,1818.8
2026-06-15,elo,33,Austria,UEFA,0.3372,-0.2476,0.5848,0.2114,1807.0
2026-06-15,elo,34,Paraguay,CONMEBOL,0.332,-0.2424,0.5743,0.6626,1800.9
2026-06-15,elo,35,Jersey,,0.3195,-0.2299,0.5494,0.1313,1785.3
2026-06-15,elo,36,Russia,UEFA,0.3171,-0.2275,0.5445,0.2418,1783.5
2026-06-15,elo,37,Scotland,UEFA,0.3031,-0.2135,0.5166,0.3486,1773.2
2026-06-15,elo,38,Egypt,CAF,0.3072,-0.2176,0.5248,0.2156,1771.5
2026-06-15,elo,39,Jordan,AFC,0.2985,-0.209,0.5075,0.2921,1768.1
2026-06-15,elo,40,Venezuela,CONMEBOL,0.2971,-0.2075,0.5046,0.6423,1762.2
2026-06-15,elo,41,DR Congo,CAF,0.2851,-0.1955,0.4805,0.1791,1753.3
2026-06-15,elo,42,Ukraine,UEFA,0.2891,-0.1995,0.4886,0.3487,1751.2
2026-06-15,elo,43,Iraq,AFC,0.2757,-0.1861,0.4618,0.2401,1739.0
2026-06-15,elo,44,Chile,CONMEBOL,0.2791,-0.1895,0.4687,0.6179,1738.4
2026-06-15,elo,45,Sweden,UEFA,0.2746,-0.1851,0.4597,0.319,1736.4
2026-06-15,elo,46,Costa Rica,CONCACAF,0.2675,-0.1779,0.4453,0.4114,1727.7
2026-06-15,elo,47,Cameroon,CAF,0.2537,-0.1641,0.4178,0.2035,1716.0
2026-06-15,elo,48,New Zealand,OFC,0.2512,-0.1616,0.4129,0.3649,1711.9
2026-06-15,elo,49,Northern Cyprus,,0.2493,-0.1597,0.409,0.1124,1711.8
2026-06-15,elo,50,Isle of Man,,0.2497,-0.1601,0.4098,-0.0069,1711.4
2026-06-15,elo,51,Guernsey,,0.2513,-0.1617,0.413,0.0963,1709.9
2026-06-15,elo,52,Mali,CAF,0.2486,-0.159,0.4075,0.1188,1709.0
2026-06-15,elo,53,Peru,CONMEBOL,0.2476,-0.158,0.4056,0.6539,1702.0
2026-06-15,elo,54,Serbia,UEFA,0.2418,-0.1522,0.394,0.3497,1700.6
2026-06-15,elo,55,Honduras,CONCACAF,0.2308,-0.1413,0.3721,0.3204,1694.4
