as_of,engine,rank,team,confederation,attack,defence,rating,opp_rating,elo
2026-06-16,elo,1,Argentina,CONMEBOL,0.6276,-0.5383,1.1659,0.5191,2101.3
2026-06-16,elo,2,Spain,UEFA,0.6012,-0.5119,1.1131,0.4808,2077.6
2026-06-16,elo,3,France,UEFA,0.563,-0.4736,1.0367,0.4871,2033.1
2026-06-16,elo,4,Colombia,CONMEBOL,0.5332,-0.4438,0.977,0.667,2006.5
2026-06-16,elo,5,Brazil,CONMEBOL,0.5314,-0.442,0.9734,0.6765,1995.3
2026-06-16,elo,6,England,UEFA,0.5174,-0.4281,0.9455,0.3328,1987.5
2026-06-16,elo,7,Morocco,CAF,0.4894,-0.4,0.8894,0.2265,1964.2
2026-06-16,elo,8,Japan,AFC,0.4884,-0.3991,0.8875,0.3986,1962.6
2026-06-16,elo,9,Germany,UEFA,0.4801,-0.3908,0.8709,0.4584,1949.0
2026-06-16,elo,10,Mexico,CONCACAF,0.4751,-0.3857,0.8608,0.5248,1945.0
2026-06-16,elo,11,Portugal,UEFA,0.4721,-0.3828,0.8549,0.4018,1938.9
2026-06-16,elo,12,Australia,AFC,0.4635,-0.3741,0.8376,0.4017,1936.9
2026-06-16,elo,13,Netherlands,UEFA,0.4655,-0.3761,0.8416,0.4091,1933.2
2026-06-16,elo,14,Ecuador,CONMEBOL,0.4457,-0.3564,0.8021,0.6381,1918.8
2026-06-16,elo,15,Uruguay,CONMEBOL,0.4263,-0.3369,0.7632,0.6325,1890.4
2026-06-16,elo,16,Senegal,CAF,0.4196,-0.3302,0.7498,0.2038,1888.7
2026-06-16,elo,17,Iran,AFC,0.4105,-0.3211,0.7316,0.2727,1875.1
2026-06-16,elo,18,South Korea,AFC,0.4061,-0.3167,0.7228,0.3471,1874.4
2026-06-16,elo,19,Belgium,UEFA,0.4153,-0.3259,0.7411,0.3173,1874.4
2026-06-16,elo,20,Croatia,UEFA,0.4058,-0.3164,0.7222,0.3979,1871.6
2026-06-16,elo,21,Norway,UEFA,0.3885,-0.2992,0.6877,0.2505,1864.9
2026-06-16,elo,22,Nigeria,CAF,0.3797,-0.2903,0.67,0.2232,1851.9
2026-06-16,elo,23,Switzerland,UEFA,0.3853,-0.2959,0.6812,0.4335,1850.4
2026-06-16,elo,24,Algeria,CAF,0.3835,-0.2941,0.6775,0.1509,1850.3
2026-06-16,elo,25,Ivory Coast,CAF,0.3677,-0.2783,0.6459,0.199,1838.6
2026-06-16,elo,26,Canada,CONCACAF,0.3664,-0.2771,0.6435,0.4464,1831.2
2026-06-16,elo,27,United States,CONCACAF,0.3649,-0.2755,0.6404,0.5412,1830.5
2026-06-16,elo,28,Denmark,UEFA,0.3655,-0.2761,0.6416,0.3581,1829.5
2026-06-16,elo,29,Turkey,UEFA,0.3571,-0.2678,0.6249,0.3113,1827.7
2026-06-16,elo,30,Panama,CONCACAF,0.3567,-0.2674,0.6241,0.3571,1825.6
2026-06-16,elo,31,Italy,UEFA,0.3602,-0.2709,0.6311,0.3573,1820.0
2026-06-16,elo,32,Uzbekistan,AFC,0.3497,-0.2603,0.61,0.291,1818.8
2026-06-16,elo,33,Austria,UEFA,0.3374,-0.248,0.5854,0.2111,1807.0
2026-06-16,elo,34,Paraguay,CONMEBOL,0.3321,-0.2428,0.5749,0.6614,1800.9
2026-06-16,elo,35,Jersey,,0.3197,-0.2303,0.55,0.1314,1785.3
2026-06-16,elo,36,Russia,UEFA,0.3172,-0.2279,0.5451,0.2411,1783.5
2026-06-16,elo,37,Egypt,CAF,0.316,-0.2266,0.5425,0.2314,1780.9
2026-06-16,elo,38,Scotland,UEFA,0.3033,-0.2139,0.5172,0.3478,1773.2
2026-06-16,elo,39,Jordan,AFC,0.2987,-0.2093,0.508,0.2948,1768.1
2026-06-16,elo,40,Venezuela,CONMEBOL,0.2972,-0.2079,0.5051,0.6416,1762.2
2026-06-16,elo,41,DR Congo,CAF,0.2852,-0.1958,0.481,0.1799,1753.3
2026-06-16,elo,42,Ukraine,UEFA,0.2892,-0.1999,0.4891,0.3483,1751.2
2026-06-16,elo,43,Iraq,AFC,0.2758,-0.1865,0.4623,0.2401,1739.0
2026-06-16,elo,44,Chile,CONMEBOL,0.2793,-0.1899,0.4692,0.6188,1738.4
2026-06-16,elo,45,Sweden,UEFA,0.2748,-0.1854,0.4602,0.3181,1736.4
2026-06-16,elo,46,Costa Rica,CONCACAF,0.2676,-0.1782,0.4458,0.4107,1727.7
2026-06-16,elo,47,New Zealand,OFC,0.2642,-0.1749,0.4391,0.3798,1726.0
2026-06-16,elo,48,Cameroon,CAF,0.2538,-0.1644,0.4182,0.2064,1716.0
2026-06-16,elo,49,Northern Cyprus,,0.2494,-0.16,0.4094,0.1125,1711.8
2026-06-16,elo,50,Isle of Man,,0.2498,-0.1604,0.4102,-0.0069,1711.4
2026-06-16,elo,51,Guernsey,,0.2514,-0.1621,0.4135,0.0964,1709.9
2026-06-16,elo,52,Mali,CAF,0.2487,-0.1593,0.4079,0.1186,1709.0
2026-06-16,elo,53,Peru,CONMEBOL,0.2477,-0.1583,0.4061,0.6513,1702.0
2026-06-16,elo,54,Saudi Arabia,AFC,0.2407,-0.1513,0.392,0.3589,1701.7
2026-06-16,elo,55,Serbia,UEFA,0.2419,-0.1526,0.3945,0.3491,1700.6
2026-06-16,elo,56,Honduras,CONCACAF,0.2309,-0.1416,0.3725,0.321,1694.4
2026-06-16,elo,57,Greece,UEFA,0.2294,-0.14,0.3695,0.3093,1694.2
2026-06-16,elo,58,Padania,,0.2341,-0.1447,0.3788,0.0648,1692.6
2026-06-16,elo,59,Czech Republic,UEFA,0.2305,-0.1411,0.3716,0.1916,1690.2
2026-06-16,elo,60,Poland,UEFA,0.2301,-0.1407,0.3708,0.3013,1687.4
2026-06-16,elo,61,Haiti,CONCACAF,0.2193,-0.1299,0.3492,0.1247,1679.0
2026-06-16,elo,62,Hungary,UEFA,0.2141,-0.1248,0.3389,0.2943,1674.7
2026-06-16,elo,63,United Arab Emirates,AFC,0.2122,-0.1228,0.335,0.2321,1673.9
2026-06-16,elo,64,Jamaica,CONCACAF,0.2116,-0.1222,0.3338,0.2311,1671.2
2026-06-16,elo,65,Kosovo,UEFA,0.1993,-0.11,0.3093,0.1139,1669.8
2026-06-16,elo,66,Republic of Ireland,UEFA,0.2074,-0.1181,0.3255,0.2808,1668.8
2026-06-16,elo,67,Cape Verde,CAF,0.1994,-0.1101,0.3095,0.1352,1664.0
2026-06-16,elo,68,Tunisia,CAF,0.204,-0.1147,0.3187,0.2367,1658.8
2026-06-16,elo,69,Bolivia,CONMEBOL,0.1945,-0.1051,0.2996,0.6267,1658.4
2026-06-16,elo,70,Slovakia,UEFA,0.1968,-0.1075,0.3043,0.1532,1655.9
2026-06-16,elo,71,Wales,UEFA,0.193,-0.1036,0.2966,0.2197,1649.3
2026-06-16,elo,72,South Africa,CAF,0.1867,-0.0973,0.284,0.1309,1646.0
2026-06-16,elo,73,Burkina Faso,CAF,0.1851,-0.0957,0.2808,0.0999,1643.4
2026-06-16,elo,74,Slovenia,UEFA,0.172,-0.0826,0.2546,0.2249,1635.0
2026-06-16,elo,75,Guatemala,CONCACAF,0.1738,-0.0844,0.2582,0.2608,1633.1
2026-06-16,elo,76,Abkhazia,,0.172,-0.0827,0.2547,0.0893,1632.3
2026-06-16,elo,77,Ynys Môn,,0.1581,-0.0687,0.2268,0.1272,1621.5
2026-06-16,elo,78,Syria,AFC,0.1591,-0.0697,0.2288,0.0886,1617.7
2026-06-16,elo,79,Georgia,UEFA,0.1512,-0.0619,0.2131,0.24,1615.7
2026-06-16,elo,80,Ghana,CAF,0.1569,-0.0675,0.2244,0.2558,1611.3
2026-06-16,elo,81,Kárpátalja,,0.1481,-0.0588,0.2069,0.1437,1611.2
2026-06-16,elo,82,New Caledonia,OFC,0.1508,-0.0614,0.2122,-0.1116,1610.8
2026-06-16,elo,83,Romania,UEFA,0.1472,-0.0578,0.205,0.0628,1603.8
2026-06-16,elo,84,Palestine,AFC,0.1432,-0.0538,0.197,0.1788,1602.5
2026-06-16,elo,85,Réunion,,0.1446,-0.0552,0.1998,-0.2161,1600.3
2026-06-16,elo,86,Curaçao,CONCACAF,0.1357,-0.0463,0.182,0.1008,1597.3
2026-06-16,elo,87,Israel,UEFA,0.1342,-0.0448,0.179,0.2135,1595.7
2026-06-16,elo,88,Suriname,CONCACAF,0.1331,-0.0438,0.1769,0.1408,1594.8
2026-06-16,elo,89,Tamil Eelam,,0.1304,-0.0411,0.1715,-0.3416,1591.9
2026-06-16,elo,90,Qatar,AFC,0.1372,-0.0479,0.1851,0.2524,1590.2
2026-06-16,elo,91,Panjab,,0.1289,-0.0396,0.1685,0.0481,1587.0
2026-06-16,elo,92,Oman,AFC,0.1311,-0.0417,0.1728,0.1736,1584.8
2026-06-16,elo,93,Angola,CAF,0.121,-0.0316,0.1526,0.0968,1583.5
2026-06-16,elo,94,Albania,UEFA,0.1212,-0.0319,0.1531,0.1225,1581.7
