group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.608,0.282,0.106,0.005,0.889,6.57,3.18
A,South Korea,0.343,0.492,0.143,0.023,0.834,5.99,1.41
A,Czech Republic,0.042,0.162,0.527,0.269,0.204,2.76,-0.94
A,South Africa,0.008,0.065,0.225,0.703,0.073,1.63,-3.66
B,Switzerland,0.436,0.27,0.233,0.061,0.706,4.69,1.39
B,Canada,0.357,0.337,0.218,0.088,0.694,4.52,1.34
B,Bosnia and Herzegovina,0.176,0.292,0.34,0.192,0.468,3.78,0.01
B,Qatar,0.031,0.102,0.209,0.659,0.132,2.09,-2.74
C,Brazil,0.573,0.287,0.124,0.016,0.86,5.87,3.88
C,Morocco,0.28,0.456,0.217,0.048,0.736,5.24,2.3
C,Scotland,0.143,0.249,0.576,0.032,0.392,4.47,-1.01
C,Haiti,0.004,0.009,0.083,0.904,0.013,0.68,-5.17
D,United States,0.736,0.172,0.082,0.01,0.908,6.46,4.09
D,Australia,0.197,0.448,0.283,0.071,0.645,4.84,0.64
D,Turkey,0.048,0.21,0.378,0.364,0.258,3.02,-1.61
D,Paraguay,0.019,0.17,0.257,0.554,0.188,2.62,-3.13
E,Germany,0.658,0.236,0.099,0.007,0.894,6.77,5.31
E,Ecuador,0.194,0.4,0.358,0.049,0.594,4.82,1.38
E,Ivory Coast,0.146,0.345,0.443,0.066,0.49,4.43,0.69
E,Curaçao,0.003,0.019,0.1,0.878,0.022,0.82,-7.37
F,Netherlands,0.52,0.272,0.143,0.065,0.792,5.79,2.51
F,Japan,0.275,0.335,0.25,0.14,0.61,4.64,0.76
F,Sweden,0.146,0.253,0.335,0.266,0.399,3.62,-0.76
F,Tunisia,0.058,0.14,0.272,0.529,0.199,2.4,-2.51
G,Belgium,0.686,0.209,0.079,0.026,0.895,6.63,3.93
G,Egypt,0.173,0.376,0.287,0.163,0.549,4.22,0.12
G,Iran,0.103,0.282,0.366,0.249,0.385,3.52,-0.96
G,New Zealand,0.038,0.133,0.267,0.562,0.171,2.17,-3.08
H,Spain,0.767,0.199,0.029,0.005,0.966,7.38,6.14
H,Uruguay,0.203,0.574,0.171,0.052,0.777,5.2,1.63
H,Cape Verde,0.015,0.116,0.403,0.466,0.131,2.19,-3.96
H,Saudi Arabia,0.014,0.111,0.397,0.478,0.126,2.11,-3.81
I,France,0.622,0.266,0.099,0.013,0.888,6.66,4.26
I,Norway,0.258,0.416,0.275,0.051,0.674,5.08,1.8
I,Senegal,0.114,0.284,0.474,0.128,0.398,3.95,-0.28
I,Iraq,0.006,0.034,0.151,0.809,0.04,1.11,-5.78
J,Argentina,0.68,0.225,0.079,0.017,0.904,6.79,4.26
J,Austria,0.205,0.419,0.286,0.09,0.624,4.69,1.0
J,Algeria,0.1,0.291,0.437,0.172,0.392,3.75,-0.55
J,Jordan,0.015,0.065,0.198,0.722,0.08,1.49,-4.72
K,Portugal,0.59,0.305,0.084,0.022,0.894,6.48,3.88
K,Colombia,0.344,0.452,0.155,0.049,0.796,5.54,2.19
K,DR Congo,0.04,0.139,0.417,0.405,0.178,2.55,-2.66
K,Uzbekistan,0.027,0.104,0.345,0.524,0.131,2.12,-3.41
L,England,0.662,0.236,0.078,0.024,0.898,6.63,4.0
L,Croatia,0.242,0.444,0.22,0.094,0.686,4.88,1.09
L,Ghana,0.059,0.189,0.389,0.363,0.247,2.85,-2.08
L,Panama,0.038,0.132,0.313,0.518,0.169,2.25,-3.0
