group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.623,0.254,0.112,0.01,0.877,6.46,3.07
A,South Korea,0.312,0.461,0.189,0.037,0.773,5.67,0.89
A,Czech Republic,0.053,0.186,0.451,0.31,0.239,2.77,-0.97
A,South Africa,0.012,0.099,0.248,0.642,0.111,1.99,-2.99
B,Switzerland,0.539,0.316,0.115,0.03,0.855,6.2,3.45
B,Canada,0.362,0.401,0.18,0.057,0.763,5.46,2.18
B,Bosnia and Herzegovina,0.077,0.201,0.44,0.282,0.279,3.17,-1.45
B,Qatar,0.022,0.081,0.266,0.631,0.103,1.82,-4.17
C,Brazil,0.594,0.285,0.105,0.016,0.879,6.43,4.27
C,Morocco,0.301,0.431,0.221,0.047,0.732,5.33,1.95
C,Scotland,0.095,0.239,0.484,0.183,0.333,3.57,-0.72
C,Haiti,0.01,0.046,0.191,0.754,0.056,1.33,-5.5
D,Turkey,0.293,0.254,0.233,0.22,0.546,4.3,0.32
D,Paraguay,0.249,0.262,0.257,0.232,0.511,4.14,0.15
D,United States,0.245,0.241,0.247,0.268,0.485,3.97,-0.18
D,Australia,0.213,0.244,0.263,0.28,0.457,3.84,-0.29
E,Germany,0.505,0.304,0.172,0.019,0.809,5.98,3.67
E,Ecuador,0.329,0.381,0.253,0.037,0.71,5.37,2.01
E,Ivory Coast,0.161,0.29,0.454,0.095,0.451,4.23,0.4
E,Curaçao,0.005,0.026,0.12,0.849,0.031,1.0,-6.08
F,Netherlands,0.477,0.284,0.159,0.081,0.761,5.54,2.15
F,Japan,0.313,0.325,0.226,0.137,0.637,4.77,0.96
F,Sweden,0.13,0.218,0.312,0.34,0.348,3.3,-1.29
F,Tunisia,0.08,0.173,0.304,0.443,0.254,2.78,-1.81
G,Belgium,0.606,0.244,0.112,0.038,0.851,6.2,3.23
G,Iran,0.207,0.34,0.291,0.162,0.547,4.27,0.23
G,Egypt,0.149,0.299,0.345,0.206,0.448,3.84,-0.32
G,New Zealand,0.037,0.117,0.252,0.594,0.154,2.09,-3.14
H,Spain,0.696,0.242,0.051,0.011,0.938,6.85,4.59
H,Uruguay,0.256,0.509,0.176,0.059,0.765,5.15,1.47
H,Saudi Arabia,0.025,0.127,0.394,0.454,0.152,2.28,-2.91
H,Cape Verde,0.024,0.122,0.379,0.475,0.146,2.23,-3.14
I,France,0.482,0.296,0.171,0.051,0.778,5.74,2.48
I,Norway,0.297,0.332,0.27,0.101,0.629,4.84,1.1
I,Senegal,0.198,0.298,0.351,0.153,0.496,4.21,0.15
I,Iraq,0.022,0.074,0.208,0.695,0.097,1.69,-3.73
J,Argentina,0.663,0.234,0.087,0.016,0.897,6.65,3.99
J,Austria,0.169,0.359,0.345,0.127,0.528,4.28,0.42
J,Algeria,0.153,0.338,0.368,0.141,0.492,4.13,0.17
J,Jordan,0.015,0.069,0.2,0.717,0.083,1.53,-4.58
K,Portugal,0.453,0.346,0.144,0.058,0.798,5.63,2.22
K,Colombia,0.44,0.352,0.148,0.06,0.792,5.58,2.12
K,DR Congo,0.061,0.169,0.379,0.39,0.23,2.74,-1.8
K,Uzbekistan,0.046,0.133,0.328,0.492,0.179,2.38,-2.54
L,England,0.623,0.286,0.073,0.018,0.909,6.59,3.89
L,Croatia,0.31,0.46,0.171,0.059,0.77,5.33,1.94
L,Ghana,0.04,0.147,0.413,0.4,0.187,2.56,-2.42
L,Panama,0.027,0.107,0.343,0.523,0.134,2.13,-3.42
