group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.702,0.257,0.039,0.002,0.959,7.17,4.21
A,South Korea,0.283,0.588,0.116,0.013,0.871,5.99,1.35
A,Czech Republic,0.011,0.071,0.492,0.426,0.082,1.94,-2.38
A,South Africa,0.005,0.084,0.352,0.559,0.089,1.88,-3.18
B,Canada,0.561,0.338,0.081,0.02,0.899,6.43,3.78
B,Switzerland,0.386,0.448,0.129,0.037,0.834,5.78,2.52
B,Qatar,0.029,0.117,0.415,0.439,0.146,2.34,-2.94
B,Bosnia and Herzegovina,0.024,0.098,0.375,0.503,0.121,2.12,-3.36
C,Brazil,0.517,0.318,0.122,0.043,0.835,5.96,2.73
C,Morocco,0.372,0.383,0.175,0.071,0.754,5.34,1.81
C,Scotland,0.065,0.168,0.374,0.393,0.233,2.76,-1.95
C,Haiti,0.046,0.132,0.329,0.493,0.178,2.37,-2.59
D,Australia,0.313,0.266,0.229,0.191,0.58,4.47,0.57
D,Turkey,0.247,0.254,0.254,0.246,0.501,4.06,0.02
D,United States,0.229,0.24,0.254,0.277,0.469,3.88,-0.26
D,Paraguay,0.211,0.24,0.263,0.286,0.451,3.79,-0.33
E,Ecuador,0.451,0.328,0.172,0.049,0.779,5.67,2.35
E,Germany,0.391,0.349,0.198,0.061,0.741,5.4,1.96
E,Ivory Coast,0.135,0.249,0.409,0.206,0.385,3.7,-0.51
E,Curaçao,0.023,0.073,0.22,0.684,0.096,1.69,-3.8
F,Japan,0.478,0.327,0.142,0.054,0.805,5.75,2.4
F,Netherlands,0.396,0.361,0.172,0.07,0.758,5.4,1.89
F,Tunisia,0.077,0.181,0.372,0.37,0.259,2.91,-1.71
F,Sweden,0.048,0.131,0.315,0.506,0.179,2.36,-2.58
G,Belgium,0.378,0.301,0.203,0.118,0.679,5.0,1.29
G,Iran,0.376,0.3,0.204,0.12,0.676,4.99,1.27
G,Egypt,0.153,0.23,0.309,0.308,0.383,3.47,-0.79
G,New Zealand,0.093,0.17,0.284,0.454,0.262,2.78,-1.78
H,Spain,0.74,0.212,0.04,0.008,0.952,7.13,4.96
H,Uruguay,0.216,0.529,0.19,0.065,0.745,5.04,1.38
H,Saudi Arabia,0.028,0.155,0.428,0.389,0.184,2.51,-2.68
H,Cape Verde,0.016,0.104,0.342,0.538,0.119,1.98,-3.66
I,France,0.576,0.253,0.122,0.049,0.829,6.01,2.74
I,Senegal,0.207,0.32,0.286,0.187,0.527,4.16,0.13
I,Norway,0.16,0.281,0.319,0.24,0.441,3.76,-0.43
I,Iraq,0.057,0.146,0.273,0.524,0.203,2.41,-2.45
J,Argentina,0.733,0.183,0.063,0.021,0.916,6.79,3.99
J,Algeria,0.127,0.344,0.299,0.229,0.472,3.75,-0.53
J,Austria,0.083,0.266,0.327,0.324,0.349,3.18,-1.37
J,Jordan,0.057,0.207,0.311,0.426,0.264,2.72,-2.09
K,Colombia,0.491,0.291,0.152,0.066,0.782,5.65,2.21
K,Portugal,0.323,0.339,0.22,0.118,0.662,4.86,1.11
K,Uzbekistan,0.121,0.221,0.339,0.319,0.342,3.3,-1.08
K,DR Congo,0.065,0.149,0.289,0.496,0.214,2.52,-2.25
L,England,0.553,0.274,0.136,0.037,0.827,6.05,2.91
L,Croatia,0.253,0.35,0.286,0.111,0.603,4.65,0.85
L,Panama,0.171,0.296,0.362,0.171,0.467,4.03,-0.04
L,Ghana,0.024,0.08,0.216,0.681,0.104,1.73,-3.72
