group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.701,0.258,0.039,0.002,0.958,7.17,4.2
A,South Korea,0.284,0.588,0.116,0.013,0.872,5.99,1.36
A,Czech Republic,0.011,0.071,0.492,0.426,0.082,1.94,-2.38
A,South Africa,0.005,0.083,0.352,0.559,0.088,1.88,-3.18
B,Switzerland,0.523,0.287,0.14,0.05,0.81,5.8,2.52
B,Canada,0.371,0.401,0.171,0.056,0.773,4.8,1.69
B,Bosnia and Herzegovina,0.055,0.184,0.4,0.361,0.239,2.88,-1.29
B,Qatar,0.051,0.127,0.289,0.533,0.178,2.3,-2.92
C,Brazil,0.515,0.318,0.124,0.043,0.833,5.95,2.71
C,Morocco,0.373,0.382,0.174,0.071,0.755,5.34,1.82
C,Scotland,0.066,0.169,0.374,0.391,0.235,2.78,-1.94
C,Haiti,0.046,0.132,0.327,0.495,0.178,2.37,-2.59
D,United States,0.538,0.296,0.148,0.018,0.834,5.8,3.12
D,Australia,0.248,0.317,0.277,0.158,0.565,4.47,0.56
D,Turkey,0.194,0.288,0.316,0.203,0.481,4.06,0.01
D,Paraguay,0.02,0.1,0.259,0.621,0.12,2.18,-3.69
E,Ecuador,0.452,0.327,0.171,0.049,0.779,5.67,2.35
E,Germany,0.39,0.349,0.199,0.061,0.739,5.4,1.95
E,Ivory Coast,0.136,0.25,0.408,0.206,0.386,3.7,-0.51
E,Curaçao,0.022,0.073,0.221,0.684,0.096,1.7,-3.8
F,Japan,0.48,0.327,0.141,0.053,0.807,5.76,2.42
F,Netherlands,0.395,0.363,0.172,0.071,0.758,5.39,1.89
F,Tunisia,0.077,0.18,0.372,0.37,0.257,2.9,-1.72
F,Sweden,0.048,0.13,0.315,0.506,0.179,2.36,-2.59
G,Belgium,0.377,0.3,0.204,0.119,0.677,4.99,1.28
G,Iran,0.377,0.3,0.203,0.119,0.677,4.99,1.28
G,Egypt,0.153,0.23,0.309,0.307,0.383,3.48,-0.78
G,New Zealand,0.092,0.17,0.284,0.454,0.262,2.79,-1.78
H,Spain,0.74,0.212,0.04,0.008,0.952,7.14,4.97
H,Uruguay,0.216,0.529,0.19,0.065,0.745,5.04,1.38
H,Saudi Arabia,0.028,0.155,0.427,0.389,0.183,2.51,-2.69
H,Cape Verde,0.016,0.103,0.343,0.538,0.119,1.98,-3.66
I,France,0.574,0.252,0.124,0.049,0.827,6.0,2.73
I,Senegal,0.207,0.32,0.286,0.187,0.527,4.16,0.14
I,Norway,0.161,0.282,0.319,0.238,0.443,3.77,-0.41
I,Iraq,0.057,0.146,0.271,0.526,0.202,2.4,-2.45
J,Argentina,0.731,0.183,0.064,0.021,0.915,6.78,3.98
J,Algeria,0.127,0.344,0.3,0.229,0.471,3.75,-0.54
J,Austria,0.084,0.265,0.326,0.325,0.349,3.19,-1.37
J,Jordan,0.058,0.208,0.31,0.425,0.265,2.72,-2.08
K,Colombia,0.491,0.291,0.151,0.067,0.782,5.65,2.21
K,Portugal,0.323,0.338,0.22,0.119,0.661,4.86,1.11
K,Uzbekistan,0.12,0.222,0.339,0.319,0.342,3.3,-1.07
K,DR Congo,0.066,0.149,0.29,0.496,0.215,2.52,-2.24
L,England,0.553,0.274,0.136,0.037,0.827,6.05,2.92
L,Croatia,0.253,0.351,0.285,0.111,0.604,4.65,0.85
L,Panama,0.171,0.295,0.365,0.17,0.466,4.03,-0.03
L,Ghana,0.024,0.08,0.214,0.683,0.103,1.72,-3.73
