group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.937,0.063,0.0,0.0,1.0,7.71,3.51
A,South Korea,0.063,0.626,0.25,0.062,0.689,4.66,0.42
A,South Africa,0.0,0.19,0.239,0.571,0.19,2.04,-2.42
A,Czech Republic,0.0,0.121,0.511,0.368,0.121,2.02,-1.51
B,Canada,0.586,0.413,0.001,0.0,0.999,5.22,5.78
B,Switzerland,0.414,0.576,0.01,0.0,0.99,5.51,3.22
B,Bosnia and Herzegovina,0.0,0.011,0.757,0.232,0.011,2.77,-2.41
B,Qatar,0.0,0.0,0.232,0.768,0.0,1.96,-6.59
C,Brazil,0.636,0.239,0.124,0.0,0.876,6.15,4.19
C,Morocco,0.328,0.655,0.017,0.0,0.983,6.4,2.61
C,Scotland,0.035,0.106,0.843,0.015,0.141,3.63,-1.19
C,Haiti,0.0,0.0,0.015,0.985,0.0,0.41,-5.61
D,United States,0.991,0.009,0.0,0.0,1.0,7.41,5.04
D,Australia,0.008,0.657,0.269,0.066,0.665,4.3,-0.03
D,Paraguay,0.001,0.334,0.548,0.117,0.335,4.35,-1.97
D,Turkey,0.0,0.0,0.183,0.817,0.0,1.35,-3.04
E,Germany,0.646,0.233,0.12,0.001,0.879,6.3,6.86
E,Ivory Coast,0.326,0.509,0.162,0.003,0.835,6.29,1.93
E,Ecuador,0.027,0.25,0.665,0.058,0.277,3.74,0.7
E,Curaçao,0.001,0.009,0.053,0.938,0.009,0.74,-9.48
F,Netherlands,0.39,0.341,0.203,0.067,0.731,5.03,1.96
F,Sweden,0.33,0.268,0.372,0.03,0.598,4.9,2.63
F,Japan,0.266,0.36,0.272,0.102,0.626,4.6,1.24
F,Tunisia,0.015,0.031,0.154,0.8,0.046,1.48,-5.83
G,Belgium,0.582,0.246,0.118,0.055,0.828,5.32,2.53
G,Egypt,0.191,0.385,0.246,0.177,0.576,4.07,0.51
G,Iran,0.17,0.234,0.359,0.237,0.404,3.23,-0.76
G,New Zealand,0.057,0.135,0.278,0.531,0.192,2.33,-2.28
H,Spain,0.591,0.248,0.121,0.04,0.839,5.26,2.41
H,Uruguay,0.279,0.344,0.263,0.115,0.623,4.01,0.41
H,Cape Verde,0.069,0.235,0.316,0.38,0.304,3.0,-0.91
H,Saudi Arabia,0.061,0.173,0.301,0.465,0.234,2.63,-1.91
I,France,0.616,0.341,0.041,0.002,0.956,7.05,4.07
I,Norway,0.362,0.45,0.184,0.004,0.812,5.68,2.91
I,Senegal,0.021,0.194,0.622,0.163,0.215,3.21,-1.34
I,Iraq,0.002,0.015,0.153,0.831,0.017,1.08,-5.64
J,Argentina,0.844,0.146,0.009,0.0,0.99,7.65,6.16
J,Austria,0.142,0.588,0.264,0.005,0.731,5.16,1.25
J,Algeria,0.013,0.253,0.544,0.19,0.265,3.4,-1.92
J,Jordan,0.001,0.013,0.182,0.804,0.014,0.88,-5.49
K,Colombia,0.633,0.262,0.097,0.008,0.895,6.41,2.94
K,Portugal,0.297,0.429,0.202,0.072,0.726,4.57,1.28
K,DR Congo,0.06,0.223,0.453,0.263,0.283,3.12,-0.77
K,Uzbekistan,0.01,0.086,0.248,0.657,0.096,1.74,-3.45
L,England,0.911,0.075,0.012,0.001,0.987,7.88,5.44
L,Ghana,0.047,0.29,0.611,0.053,0.337,4.13,-1.51
L,Croatia,0.039,0.602,0.269,0.09,0.641,4.3,0.38
L,Panama,0.002,0.033,0.109,0.856,0.035,0.89,-4.31
