group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.701,0.258,0.039,0.002,0.959,7.17,4.2
A,South Korea,0.283,0.588,0.116,0.013,0.871,5.99,1.36
A,Czech Republic,0.011,0.071,0.493,0.426,0.081,1.94,-2.38
A,South Africa,0.005,0.084,0.353,0.559,0.088,1.88,-3.18
B,Canada,0.478,0.287,0.168,0.067,0.764,4.81,1.68
B,Switzerland,0.363,0.318,0.219,0.099,0.682,4.42,1.02
B,Qatar,0.082,0.193,0.31,0.415,0.275,2.89,-1.41
B,Bosnia and Herzegovina,0.077,0.202,0.303,0.418,0.279,2.86,-1.28
C,Brazil,0.455,0.349,0.155,0.041,0.804,5.42,2.48
C,Morocco,0.369,0.382,0.192,0.057,0.751,5.17,2.07
C,Scotland,0.166,0.246,0.536,0.052,0.412,4.44,-0.86
C,Haiti,0.01,0.023,0.116,0.85,0.033,1.03,-3.68
D,Australia,0.486,0.406,0.097,0.01,0.893,6.28,2.78
D,United States,0.479,0.383,0.128,0.011,0.861,5.8,3.12
D,Turkey,0.021,0.132,0.446,0.401,0.154,2.55,-2.21
D,Paraguay,0.014,0.079,0.329,0.579,0.092,2.19,-3.69
E,Ecuador,0.452,0.328,0.171,0.049,0.78,5.67,2.35
E,Germany,0.39,0.35,0.2,0.061,0.739,5.4,1.96
E,Ivory Coast,0.136,0.249,0.409,0.206,0.385,3.7,-0.51
E,Curaçao,0.023,0.073,0.22,0.684,0.096,1.7,-3.8
F,Japan,0.479,0.328,0.141,0.053,0.806,5.76,2.41
F,Netherlands,0.396,0.362,0.172,0.07,0.758,5.4,1.89
F,Tunisia,0.077,0.18,0.373,0.37,0.257,2.9,-1.72
F,Sweden,0.048,0.13,0.315,0.507,0.179,2.36,-2.59
G,Belgium,0.378,0.3,0.203,0.12,0.678,4.99,1.28
G,Iran,0.377,0.3,0.204,0.12,0.676,4.99,1.27
G,Egypt,0.153,0.23,0.309,0.308,0.383,3.48,-0.78
G,New Zealand,0.093,0.17,0.284,0.453,0.263,2.79,-1.77
H,Spain,0.74,0.212,0.04,0.007,0.952,7.14,4.97
H,Uruguay,0.216,0.53,0.19,0.065,0.745,5.04,1.37
H,Saudi Arabia,0.028,0.155,0.427,0.39,0.183,2.51,-2.69
H,Cape Verde,0.016,0.104,0.342,0.538,0.12,1.99,-3.66
I,France,0.574,0.253,0.124,0.049,0.827,6.0,2.73
I,Senegal,0.208,0.32,0.286,0.186,0.527,4.16,0.14
I,Norway,0.162,0.282,0.319,0.238,0.444,3.77,-0.41
I,Iraq,0.057,0.145,0.271,0.527,0.202,2.4,-2.45
J,Argentina,0.732,0.184,0.063,0.021,0.916,6.78,3.98
J,Algeria,0.127,0.344,0.3,0.229,0.471,3.75,-0.53
J,Austria,0.083,0.265,0.327,0.325,0.348,3.18,-1.37
J,Jordan,0.057,0.207,0.311,0.425,0.265,2.72,-2.08
K,Colombia,0.492,0.29,0.151,0.067,0.782,5.65,2.21
K,Portugal,0.322,0.338,0.221,0.119,0.661,4.86,1.11
K,Uzbekistan,0.12,0.223,0.338,0.319,0.343,3.3,-1.07
K,DR Congo,0.065,0.149,0.29,0.496,0.214,2.52,-2.25
L,England,0.551,0.276,0.136,0.037,0.827,6.05,2.91
L,Croatia,0.253,0.35,0.286,0.111,0.603,4.65,0.85
L,Panama,0.172,0.295,0.364,0.169,0.467,4.03,-0.03
L,Ghana,0.024,0.079,0.213,0.683,0.103,1.72,-3.74
