group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.621,0.253,0.115,0.01,0.875,6.44,3.05
A,South Korea,0.312,0.46,0.19,0.038,0.772,5.66,0.88
A,Czech Republic,0.055,0.191,0.453,0.301,0.246,2.81,-0.9
A,South Africa,0.012,0.096,0.242,0.651,0.108,1.96,-3.02
B,Switzerland,0.433,0.274,0.215,0.079,0.706,4.64,1.34
B,Canada,0.371,0.319,0.207,0.103,0.69,4.47,1.23
B,Bosnia and Herzegovina,0.139,0.256,0.325,0.281,0.394,3.41,-0.52
B,Qatar,0.057,0.152,0.253,0.537,0.209,2.5,-2.05
C,Brazil,0.576,0.281,0.127,0.016,0.857,5.83,3.82
C,Morocco,0.27,0.461,0.227,0.042,0.732,5.2,2.2
C,Scotland,0.151,0.25,0.578,0.022,0.4,4.53,-0.75
C,Haiti,0.003,0.008,0.068,0.92,0.011,0.62,-5.27
D,United States,0.517,0.299,0.162,0.022,0.816,5.71,2.94
D,Australia,0.413,0.399,0.162,0.026,0.812,5.72,2.03
D,Turkey,0.046,0.181,0.37,0.402,0.227,2.86,-1.82
D,Paraguay,0.024,0.121,0.306,0.549,0.145,2.56,-3.16
E,Germany,0.65,0.231,0.119,0.001,0.88,6.32,6.88
E,Ivory Coast,0.323,0.511,0.163,0.003,0.834,6.28,1.91
E,Ecuador,0.027,0.25,0.665,0.058,0.277,3.74,0.7
E,Curaçao,0.001,0.008,0.053,0.938,0.009,0.73,-9.49
F,Netherlands,0.392,0.34,0.203,0.065,0.732,5.04,1.99
F,Sweden,0.33,0.27,0.371,0.029,0.6,4.91,2.65
F,Japan,0.264,0.36,0.274,0.102,0.624,4.59,1.23
F,Tunisia,0.014,0.03,0.152,0.804,0.044,1.46,-5.87
G,Belgium,0.579,0.246,0.119,0.056,0.825,5.3,2.51
G,Egypt,0.188,0.381,0.249,0.182,0.569,4.04,0.47
G,Iran,0.175,0.237,0.355,0.233,0.411,3.26,-0.72
G,New Zealand,0.058,0.137,0.277,0.528,0.195,2.34,-2.25
H,Spain,0.6,0.244,0.117,0.039,0.844,5.29,2.45
H,Uruguay,0.269,0.343,0.268,0.12,0.612,3.97,0.35
H,Cape Verde,0.07,0.239,0.314,0.378,0.308,3.01,-0.89
H,Saudi Arabia,0.062,0.174,0.301,0.463,0.236,2.63,-1.91
I,France,0.611,0.346,0.04,0.002,0.957,7.05,4.06
I,Norway,0.368,0.451,0.177,0.004,0.819,5.71,2.96
I,Senegal,0.019,0.187,0.625,0.169,0.207,3.17,-1.4
I,Iraq,0.002,0.015,0.158,0.825,0.017,1.09,-5.61
J,Argentina,0.841,0.149,0.01,0.0,0.99,7.64,6.15
J,Austria,0.145,0.593,0.257,0.005,0.738,5.18,1.29
J,Algeria,0.012,0.245,0.547,0.196,0.257,3.37,-1.97
J,Jordan,0.001,0.013,0.187,0.799,0.014,0.9,-5.47
K,Portugal,0.462,0.343,0.14,0.055,0.805,5.68,2.3
K,Colombia,0.432,0.358,0.15,0.06,0.79,5.56,2.08
K,DR Congo,0.06,0.166,0.38,0.395,0.226,2.71,-1.84
K,Uzbekistan,0.045,0.134,0.331,0.49,0.179,2.38,-2.54
L,England,0.621,0.288,0.073,0.017,0.91,6.6,3.92
L,Croatia,0.314,0.463,0.167,0.056,0.777,5.36,2.0
L,Ghana,0.038,0.144,0.416,0.401,0.182,2.54,-2.46
L,Panama,0.026,0.105,0.344,0.525,0.131,2.11,-3.46
