group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.7,0.258,0.04,0.002,0.958,7.17,4.2
A,South Korea,0.284,0.587,0.115,0.013,0.872,5.99,1.36
A,Czech Republic,0.011,0.071,0.492,0.426,0.082,1.95,-2.37
A,South Africa,0.005,0.083,0.352,0.559,0.088,1.88,-3.19
B,Canada,0.478,0.285,0.168,0.068,0.763,4.81,1.67
B,Switzerland,0.364,0.319,0.219,0.099,0.682,4.42,1.02
B,Qatar,0.082,0.194,0.31,0.415,0.275,2.89,-1.41
B,Bosnia and Herzegovina,0.077,0.203,0.303,0.418,0.279,2.86,-1.28
C,Brazil,0.456,0.349,0.155,0.041,0.804,5.42,2.49
C,Morocco,0.368,0.383,0.192,0.057,0.752,5.18,2.07
C,Scotland,0.166,0.245,0.538,0.052,0.41,4.43,-0.86
C,Haiti,0.01,0.023,0.116,0.85,0.034,1.03,-3.69
D,Australia,0.487,0.405,0.097,0.01,0.892,6.28,2.78
D,United States,0.478,0.383,0.128,0.011,0.861,5.8,3.12
D,Turkey,0.021,0.132,0.445,0.401,0.154,2.55,-2.22
D,Paraguay,0.014,0.079,0.329,0.578,0.093,2.19,-3.69
E,Germany,0.63,0.246,0.123,0.002,0.875,6.18,6.65
E,Ivory Coast,0.333,0.482,0.179,0.007,0.815,6.09,1.56
E,Ecuador,0.035,0.253,0.603,0.11,0.288,3.56,0.29
E,Curaçao,0.002,0.02,0.096,0.882,0.022,1.12,-8.5
F,Japan,0.402,0.365,0.186,0.047,0.767,5.3,2.27
F,Netherlands,0.359,0.379,0.207,0.055,0.738,5.17,2.05
F,Sweden,0.231,0.243,0.505,0.021,0.474,4.46,2.18
F,Tunisia,0.009,0.013,0.101,0.877,0.022,1.11,-6.51
G,Belgium,0.33,0.265,0.236,0.168,0.596,4.21,0.69
G,Iran,0.33,0.262,0.24,0.167,0.593,3.99,0.39
G,Egypt,0.193,0.249,0.265,0.294,0.442,3.56,-0.19
G,New Zealand,0.147,0.224,0.259,0.371,0.37,3.05,-0.9
H,Spain,0.613,0.232,0.118,0.037,0.845,5.38,2.5
H,Uruguay,0.244,0.346,0.269,0.141,0.59,3.89,0.24
H,Saudi Arabia,0.079,0.203,0.326,0.392,0.282,2.85,-1.53
H,Cape Verde,0.064,0.22,0.286,0.431,0.283,2.87,-1.21
I,France,0.575,0.253,0.123,0.049,0.828,6.01,2.74
I,Senegal,0.207,0.32,0.286,0.186,0.527,4.16,0.14
I,Norway,0.161,0.281,0.32,0.238,0.443,3.77,-0.41
I,Iraq,0.056,0.146,0.271,0.527,0.202,2.4,-2.46
J,Argentina,0.732,0.184,0.063,0.021,0.916,6.79,3.99
J,Algeria,0.127,0.343,0.301,0.229,0.47,3.75,-0.53
J,Austria,0.083,0.266,0.326,0.324,0.35,3.18,-1.37
J,Jordan,0.057,0.207,0.31,0.425,0.264,2.72,-2.08
K,Colombia,0.493,0.29,0.151,0.066,0.783,5.65,2.22
K,Portugal,0.322,0.34,0.22,0.118,0.662,4.86,1.11
K,Uzbekistan,0.12,0.222,0.339,0.319,0.341,3.29,-1.08
K,DR Congo,0.065,0.149,0.29,0.496,0.214,2.51,-2.25
L,England,0.552,0.275,0.136,0.037,0.827,6.05,2.92
L,Croatia,0.254,0.35,0.286,0.111,0.604,4.65,0.86
L,Panama,0.17,0.296,0.364,0.17,0.467,4.03,-0.03
L,Ghana,0.024,0.079,0.214,0.683,0.103,1.72,-3.75
