group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.607,0.281,0.107,0.005,0.888,6.58,3.2
A,South Korea,0.342,0.492,0.143,0.023,0.834,5.99,1.42
A,Czech Republic,0.043,0.162,0.527,0.269,0.204,2.76,-0.93
A,South Africa,0.008,0.066,0.224,0.703,0.073,1.62,-3.69
B,Switzerland,0.437,0.269,0.232,0.062,0.706,4.69,1.41
B,Canada,0.354,0.337,0.22,0.088,0.692,4.51,1.33
B,Bosnia and Herzegovina,0.177,0.29,0.337,0.196,0.467,3.77,-0.0
B,Qatar,0.032,0.104,0.211,0.654,0.135,2.11,-2.73
C,Brazil,0.573,0.285,0.125,0.017,0.858,5.87,3.96
C,Morocco,0.281,0.458,0.213,0.049,0.738,5.25,2.35
C,Scotland,0.142,0.248,0.577,0.033,0.39,4.46,-1.06
C,Haiti,0.004,0.009,0.085,0.901,0.014,0.69,-5.25
D,United States,0.733,0.175,0.082,0.01,0.908,6.46,4.1
D,Australia,0.2,0.449,0.281,0.07,0.649,4.86,0.67
D,Turkey,0.048,0.205,0.377,0.371,0.253,2.98,-1.65
D,Paraguay,0.02,0.171,0.261,0.549,0.19,2.63,-3.12
E,Germany,0.742,0.187,0.071,0.0,0.929,6.97,7.86
E,Ivory Coast,0.24,0.623,0.135,0.002,0.863,6.28,2.1
E,Ecuador,0.017,0.185,0.753,0.045,0.202,3.54,0.85
E,Curaçao,0.0,0.005,0.042,0.953,0.005,0.52,-10.82
F,Netherlands,0.42,0.339,0.191,0.051,0.759,5.25,2.36
F,Sweden,0.31,0.276,0.397,0.018,0.585,4.91,2.75
F,Japan,0.261,0.366,0.288,0.085,0.627,4.73,1.46
F,Tunisia,0.009,0.02,0.124,0.847,0.029,1.18,-6.58
G,Belgium,0.622,0.248,0.09,0.04,0.871,5.61,3.0
G,Egypt,0.234,0.449,0.19,0.127,0.683,4.48,1.09
G,Iran,0.084,0.168,0.409,0.34,0.252,2.66,-1.66
G,New Zealand,0.06,0.134,0.312,0.494,0.194,2.31,-2.42
H,Spain,0.681,0.22,0.08,0.02,0.901,5.67,3.48
H,Uruguay,0.224,0.39,0.277,0.109,0.614,3.98,0.36
H,Cape Verde,0.056,0.24,0.327,0.377,0.296,2.99,-1.21
H,Saudi Arabia,0.039,0.15,0.316,0.494,0.19,2.54,-2.63
I,France,0.62,0.267,0.1,0.013,0.887,6.66,4.27
I,Norway,0.26,0.415,0.274,0.051,0.675,5.08,1.84
I,Senegal,0.114,0.284,0.473,0.129,0.398,3.94,-0.28
I,Iraq,0.006,0.034,0.152,0.808,0.04,1.11,-5.83
J,Argentina,0.68,0.224,0.078,0.017,0.905,6.79,4.31
J,Austria,0.204,0.42,0.286,0.09,0.624,4.69,1.01
J,Algeria,0.101,0.29,0.437,0.172,0.391,3.74,-0.57
J,Jordan,0.015,0.065,0.199,0.721,0.08,1.49,-4.75
K,Portugal,0.591,0.305,0.083,0.021,0.896,6.49,3.94
K,Colombia,0.343,0.453,0.155,0.049,0.796,5.54,2.21
K,DR Congo,0.039,0.139,0.418,0.405,0.178,2.54,-2.69
K,Uzbekistan,0.027,0.104,0.345,0.525,0.13,2.11,-3.46
L,England,0.666,0.234,0.076,0.024,0.9,6.66,4.13
L,Croatia,0.24,0.447,0.22,0.093,0.687,4.89,1.1
L,Ghana,0.057,0.189,0.392,0.362,0.246,2.85,-2.11
L,Panama,0.036,0.131,0.312,0.521,0.167,2.24,-3.12
