group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.642,0.252,0.1,0.007,0.894,6.59,3.22
A,South Korea,0.305,0.494,0.171,0.03,0.799,5.73,0.99
A,Czech Republic,0.045,0.17,0.488,0.296,0.215,2.72,-1.04
A,South Africa,0.009,0.083,0.241,0.667,0.092,1.83,-3.17
B,Switzerland,0.566,0.323,0.092,0.019,0.89,6.42,3.89
B,Canada,0.366,0.439,0.155,0.04,0.805,5.65,2.46
B,Bosnia and Herzegovina,0.053,0.172,0.479,0.295,0.225,2.93,-1.82
B,Qatar,0.015,0.066,0.274,0.646,0.08,1.68,-4.53
C,Brazil,0.606,0.29,0.096,0.007,0.896,6.57,4.79
C,Morocco,0.308,0.457,0.208,0.026,0.766,5.56,2.3
C,Scotland,0.082,0.23,0.555,0.132,0.312,3.65,-0.59
C,Haiti,0.003,0.022,0.14,0.834,0.026,0.96,-6.5
D,Turkey,0.28,0.251,0.237,0.232,0.53,4.2,0.17
D,United States,0.265,0.247,0.241,0.248,0.512,4.1,0.02
D,Australia,0.244,0.256,0.255,0.245,0.5,4.06,0.03
D,Paraguay,0.211,0.246,0.267,0.275,0.458,3.85,-0.22
E,Germany,0.552,0.292,0.148,0.008,0.845,6.26,4.4
E,Ecuador,0.307,0.406,0.264,0.023,0.713,5.42,2.13
E,Ivory Coast,0.139,0.289,0.506,0.066,0.428,4.24,0.46
E,Curaçao,0.002,0.012,0.083,0.903,0.014,0.72,-7.0
F,Netherlands,0.494,0.292,0.148,0.066,0.786,5.68,2.34
F,Japan,0.332,0.346,0.212,0.109,0.679,4.97,1.23
F,Sweden,0.112,0.208,0.333,0.346,0.321,3.18,-1.49
F,Tunisia,0.062,0.153,0.307,0.478,0.215,2.56,-2.08
G,Belgium,0.627,0.242,0.104,0.027,0.87,6.33,3.32
G,Iran,0.216,0.37,0.291,0.123,0.587,4.45,0.46
G,Egypt,0.136,0.303,0.378,0.183,0.439,3.81,-0.34
G,New Zealand,0.02,0.084,0.228,0.668,0.105,1.74,-3.44
H,Spain,0.752,0.212,0.031,0.005,0.964,7.19,5.27
H,Uruguay,0.218,0.571,0.163,0.048,0.789,5.18,1.48
H,Saudi Arabia,0.018,0.124,0.439,0.419,0.142,2.27,-2.99
H,Cape Verde,0.012,0.094,0.367,0.528,0.105,1.94,-3.76
I,France,0.52,0.29,0.153,0.037,0.81,5.95,2.75
I,Norway,0.286,0.349,0.275,0.09,0.635,4.85,1.11
I,Senegal,0.177,0.298,0.377,0.147,0.475,4.13,0.05
I,Iraq,0.017,0.063,0.195,0.726,0.079,1.54,-3.91
J,Argentina,0.692,0.222,0.075,0.011,0.914,6.8,4.16
J,Austria,0.163,0.381,0.346,0.109,0.545,4.35,0.55
J,Algeria,0.134,0.339,0.392,0.135,0.473,4.06,0.1
J,Jordan,0.011,0.058,0.186,0.745,0.069,1.39,-4.8
K,Portugal,0.48,0.346,0.127,0.047,0.826,5.79,2.37
K,Colombia,0.429,0.37,0.144,0.056,0.8,5.58,2.05
K,DR Congo,0.049,0.151,0.381,0.419,0.2,2.57,-1.97
K,Uzbekistan,0.042,0.132,0.348,0.478,0.174,2.37,-2.44
L,England,0.663,0.274,0.052,0.01,0.938,6.87,4.34
L,Croatia,0.293,0.51,0.152,0.045,0.803,5.43,2.1
L,Ghana,0.026,0.123,0.432,0.42,0.148,2.35,-2.79
L,Panama,0.018,0.093,0.364,0.525,0.111,2.01,-3.66
