group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.909,0.091,0.0,0.0,1.0,7.75,3.56
A,South Korea,0.091,0.673,0.19,0.046,0.764,4.96,0.85
A,South Africa,0.0,0.14,0.215,0.645,0.14,1.79,-2.85
A,Czech Republic,0.0,0.096,0.595,0.309,0.096,2.01,-1.56
B,Canada,0.6,0.398,0.002,0.0,0.998,5.18,5.79
B,Switzerland,0.4,0.576,0.024,0.0,0.976,5.51,3.21
B,Bosnia and Herzegovina,0.0,0.026,0.845,0.129,0.026,3.24,-1.6
B,Qatar,0.0,0.0,0.129,0.871,0.0,1.58,-7.4
C,Brazil,0.631,0.258,0.111,0.0,0.889,6.29,4.48
C,Morocco,0.348,0.642,0.011,0.0,0.989,6.58,3.13
C,Scotland,0.021,0.101,0.864,0.014,0.122,3.53,-1.48
C,Haiti,0.0,0.0,0.014,0.986,0.0,0.29,-6.13
D,United States,0.998,0.002,0.0,0.0,1.0,7.72,5.54
D,Australia,0.002,0.663,0.293,0.043,0.665,4.15,-0.15
D,Paraguay,0.0,0.335,0.6,0.065,0.335,4.43,-1.85
D,Turkey,0.0,0.0,0.108,0.892,0.0,1.04,-3.54
E,Germany,0.988,0.012,0.0,0.0,1.0,7.75,7.57
E,Ivory Coast,0.012,0.922,0.053,0.013,0.934,5.62,2.27
E,Curaçao,0.0,0.037,0.072,0.891,0.037,1.27,-8.27
E,Ecuador,0.0,0.029,0.875,0.096,0.029,2.01,-1.57
F,Netherlands,0.792,0.206,0.002,0.0,0.998,6.66,6.41
F,Japan,0.175,0.605,0.22,0.0,0.78,5.77,4.57
F,Sweden,0.033,0.189,0.778,0.0,0.222,3.95,-0.57
F,Tunisia,0.0,0.0,0.0,1.0,0.0,0.23,-10.41
G,Egypt,0.597,0.199,0.204,0.0,0.796,5.53,2.25
G,Belgium,0.297,0.574,0.076,0.053,0.871,4.54,2.06
G,Iran,0.106,0.177,0.687,0.031,0.282,3.11,-0.25
G,New Zealand,0.0,0.051,0.033,0.916,0.051,1.33,-4.06
H,Spain,0.863,0.083,0.053,0.0,0.947,6.15,5.15
H,Uruguay,0.107,0.073,0.706,0.115,0.179,2.62,-1.15
H,Cape Verde,0.03,0.563,0.19,0.217,0.593,3.48,0.17
H,Saudi Arabia,0.0,0.281,0.051,0.668,0.281,2.24,-4.17
I,France,0.813,0.187,0.0,0.0,1.0,7.98,5.92
I,Norway,0.187,0.813,0.0,0.0,1.0,6.79,3.08
I,Senegal,0.0,0.0,0.923,0.077,0.0,2.47,-1.11
I,Iraq,0.0,0.0,0.077,0.923,0.0,0.38,-7.89
J,Argentina,0.999,0.001,0.0,0.0,1.0,8.52,6.97
J,Austria,0.001,0.746,0.247,0.007,0.746,4.44,0.15
J,Algeria,0.0,0.254,0.723,0.023,0.254,4.16,-2.15
J,Jordan,0.0,0.0,0.03,0.97,0.0,0.34,-4.97
K,Colombia,0.488,0.367,0.139,0.006,0.855,6.16,2.64
K,Portugal,0.446,0.399,0.13,0.025,0.845,5.3,2.75
K,DR Congo,0.061,0.201,0.486,0.252,0.262,3.29,-0.67
K,Uzbekistan,0.005,0.033,0.244,0.717,0.038,1.35,-4.71
L,England,0.938,0.053,0.009,0.001,0.99,8.08,6.14
L,Ghana,0.036,0.295,0.6,0.07,0.33,4.05,-1.98
L,Croatia,0.024,0.61,0.262,0.104,0.634,4.14,0.03
L,Panama,0.003,0.042,0.13,0.825,0.045,0.98,-4.19
