group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.661,0.236,0.079,0.024,0.897,6.57,3.84
A,South Korea,0.235,0.418,0.233,0.113,0.654,4.71,0.83
A,Czech Republic,0.066,0.204,0.374,0.356,0.27,2.92,-1.84
A,South Africa,0.038,0.142,0.314,0.506,0.179,2.32,-2.83
B,Canada,0.562,0.338,0.081,0.019,0.9,6.43,3.79
B,Switzerland,0.386,0.448,0.129,0.037,0.834,5.78,2.52
B,Qatar,0.029,0.116,0.414,0.44,0.146,2.33,-2.95
B,Bosnia and Herzegovina,0.023,0.098,0.376,0.503,0.121,2.12,-3.36
C,Brazil,0.516,0.317,0.123,0.043,0.834,5.95,2.72
C,Morocco,0.372,0.382,0.174,0.071,0.755,5.35,1.82
C,Scotland,0.066,0.169,0.374,0.392,0.234,2.77,-1.95
C,Haiti,0.046,0.132,0.328,0.495,0.177,2.37,-2.59
D,Australia,0.313,0.265,0.23,0.191,0.579,4.47,0.57
D,Turkey,0.247,0.254,0.253,0.246,0.502,4.06,0.02
D,United States,0.228,0.24,0.255,0.277,0.468,3.88,-0.26
D,Paraguay,0.212,0.24,0.262,0.286,0.452,3.79,-0.34
E,Ecuador,0.451,0.329,0.171,0.049,0.779,5.67,2.35
E,Germany,0.391,0.349,0.199,0.061,0.74,5.41,1.96
E,Ivory Coast,0.136,0.249,0.41,0.205,0.385,3.7,-0.52
E,Curaçao,0.022,0.073,0.22,0.684,0.095,1.69,-3.8
F,Japan,0.479,0.327,0.141,0.053,0.806,5.75,2.41
F,Netherlands,0.397,0.362,0.171,0.07,0.759,5.4,1.89
F,Tunisia,0.077,0.18,0.373,0.37,0.257,2.9,-1.72
F,Sweden,0.047,0.131,0.315,0.507,0.178,2.36,-2.58
G,Belgium,0.378,0.3,0.203,0.119,0.678,5.0,1.29
G,Iran,0.377,0.3,0.204,0.119,0.677,4.99,1.28
G,Egypt,0.152,0.231,0.309,0.308,0.383,3.47,-0.78
G,New Zealand,0.093,0.169,0.284,0.454,0.262,2.78,-1.78
H,Spain,0.739,0.213,0.04,0.008,0.952,7.14,4.97
H,Uruguay,0.217,0.529,0.189,0.065,0.745,5.04,1.38
H,Saudi Arabia,0.028,0.155,0.428,0.389,0.183,2.51,-2.69
H,Cape Verde,0.016,0.104,0.342,0.538,0.12,1.99,-3.66
I,France,0.576,0.252,0.123,0.049,0.828,6.01,2.74
I,Senegal,0.207,0.32,0.287,0.186,0.527,4.16,0.14
I,Norway,0.16,0.282,0.319,0.24,0.442,3.76,-0.43
I,Iraq,0.057,0.146,0.272,0.525,0.203,2.4,-2.45
J,Argentina,0.733,0.183,0.063,0.021,0.916,6.79,3.99
J,Algeria,0.127,0.344,0.3,0.23,0.471,3.75,-0.53
J,Austria,0.083,0.266,0.327,0.325,0.349,3.18,-1.37
J,Jordan,0.057,0.208,0.311,0.425,0.265,2.72,-2.08
K,Colombia,0.491,0.29,0.151,0.067,0.781,5.64,2.21
K,Portugal,0.322,0.34,0.22,0.118,0.662,4.86,1.11
K,Uzbekistan,0.121,0.221,0.338,0.32,0.342,3.29,-1.08
K,DR Congo,0.066,0.149,0.291,0.494,0.215,2.52,-2.24
L,England,0.552,0.275,0.136,0.037,0.827,6.05,2.91
L,Croatia,0.254,0.351,0.285,0.11,0.605,4.65,0.86
L,Panama,0.17,0.294,0.365,0.17,0.465,4.02,-0.04
L,Ghana,0.024,0.079,0.214,0.683,0.103,1.72,-3.73
