group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.6,0.285,0.109,0.005,0.886,6.55,3.16
A,South Korea,0.349,0.488,0.141,0.022,0.836,6.01,1.45
A,Czech Republic,0.043,0.163,0.527,0.267,0.206,2.78,-0.9
A,South Africa,0.008,0.064,0.222,0.706,0.072,1.62,-3.7
B,Switzerland,0.602,0.228,0.139,0.031,0.83,6.19,3.42
B,Canada,0.254,0.41,0.26,0.077,0.664,4.46,1.22
B,Bosnia and Herzegovina,0.123,0.292,0.419,0.166,0.414,3.72,-0.09
B,Qatar,0.021,0.071,0.182,0.726,0.092,1.54,-4.54
C,Brazil,0.695,0.221,0.074,0.01,0.916,6.88,5.02
C,Morocco,0.2,0.448,0.279,0.073,0.648,4.83,1.16
C,Scotland,0.096,0.278,0.455,0.171,0.374,3.69,-0.66
C,Haiti,0.009,0.053,0.192,0.746,0.062,1.36,-5.53
D,United States,0.642,0.277,0.071,0.01,0.918,6.44,4.07
D,Turkey,0.281,0.399,0.214,0.107,0.68,4.93,1.19
D,Australia,0.058,0.171,0.336,0.435,0.229,2.64,-2.17
D,Paraguay,0.02,0.154,0.379,0.448,0.173,2.64,-3.09
E,Germany,0.656,0.237,0.099,0.008,0.893,6.77,5.26
E,Ecuador,0.205,0.413,0.336,0.047,0.618,4.91,1.5
E,Ivory Coast,0.137,0.33,0.463,0.071,0.466,4.32,0.55
E,Curaçao,0.003,0.02,0.102,0.875,0.023,0.83,-7.31
F,Netherlands,0.526,0.269,0.142,0.063,0.795,5.81,2.55
F,Japan,0.269,0.336,0.252,0.143,0.605,4.6,0.71
F,Sweden,0.147,0.256,0.336,0.261,0.403,3.64,-0.73
F,Tunisia,0.058,0.14,0.27,0.533,0.198,2.39,-2.53
G,Belgium,0.685,0.209,0.08,0.026,0.894,6.63,3.97
G,Egypt,0.173,0.374,0.288,0.165,0.547,4.22,0.11
G,Iran,0.104,0.283,0.364,0.248,0.387,3.53,-0.97
G,New Zealand,0.038,0.134,0.268,0.56,0.172,2.18,-3.11
H,Spain,0.771,0.197,0.028,0.005,0.967,7.39,6.31
H,Uruguay,0.2,0.576,0.172,0.053,0.775,5.19,1.65
H,Cape Verde,0.016,0.124,0.424,0.435,0.141,2.29,-3.88
H,Saudi Arabia,0.013,0.104,0.376,0.507,0.117,2.01,-4.09
I,France,0.62,0.266,0.101,0.013,0.886,6.65,4.22
I,Norway,0.258,0.413,0.277,0.053,0.671,5.06,1.77
I,Senegal,0.116,0.286,0.469,0.129,0.402,3.95,-0.26
I,Iraq,0.006,0.035,0.154,0.805,0.041,1.13,-5.72
J,Argentina,0.679,0.226,0.078,0.017,0.905,6.79,4.32
J,Austria,0.208,0.421,0.284,0.087,0.629,4.71,1.04
J,Algeria,0.099,0.288,0.437,0.176,0.387,3.72,-0.62
J,Jordan,0.014,0.065,0.2,0.72,0.08,1.49,-4.74
K,Portugal,0.591,0.304,0.083,0.022,0.895,6.48,3.94
K,Colombia,0.342,0.454,0.155,0.049,0.796,5.53,2.2
K,DR Congo,0.039,0.138,0.416,0.407,0.177,2.54,-2.69
K,Uzbekistan,0.028,0.105,0.346,0.522,0.132,2.13,-3.45
L,England,0.663,0.236,0.077,0.024,0.899,6.64,4.09
L,Croatia,0.242,0.445,0.219,0.093,0.687,4.89,1.11
L,Ghana,0.058,0.188,0.392,0.362,0.246,2.86,-2.09
L,Panama,0.037,0.13,0.312,0.521,0.167,2.24,-3.11
