group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.641,0.254,0.098,0.007,0.895,6.6,3.24
A,South Korea,0.307,0.495,0.169,0.029,0.802,5.75,1.01
A,Czech Republic,0.044,0.167,0.485,0.304,0.21,2.69,-1.1
A,South Africa,0.009,0.085,0.247,0.66,0.094,1.85,-3.15
B,Switzerland,0.446,0.287,0.201,0.066,0.733,4.74,1.48
B,Canada,0.391,0.33,0.195,0.084,0.721,4.57,1.4
B,Bosnia and Herzegovina,0.112,0.236,0.342,0.31,0.349,3.26,-0.78
B,Qatar,0.05,0.147,0.263,0.54,0.197,2.47,-2.09
C,Brazil,0.625,0.255,0.112,0.008,0.88,6.02,4.38
C,Morocco,0.253,0.511,0.21,0.026,0.764,5.38,2.44
C,Scotland,0.121,0.23,0.635,0.014,0.351,4.41,-0.93
C,Haiti,0.001,0.004,0.043,0.952,0.005,0.44,-5.89
D,United States,0.514,0.314,0.154,0.018,0.828,5.76,3.04
D,Australia,0.426,0.412,0.143,0.02,0.838,5.86,2.22
D,Turkey,0.041,0.171,0.393,0.395,0.211,2.8,-1.91
D,Paraguay,0.019,0.104,0.31,0.568,0.122,2.41,-3.34
E,Germany,0.542,0.296,0.154,0.008,0.838,6.21,4.31
E,Ecuador,0.31,0.4,0.265,0.024,0.711,5.43,2.13
E,Ivory Coast,0.146,0.291,0.498,0.066,0.437,4.28,0.52
E,Curaçao,0.002,0.013,0.083,0.902,0.015,0.73,-6.96
F,Netherlands,0.481,0.296,0.153,0.07,0.777,5.62,2.27
F,Japan,0.342,0.343,0.208,0.107,0.685,5.02,1.29
F,Sweden,0.113,0.206,0.331,0.35,0.319,3.18,-1.52
F,Tunisia,0.065,0.155,0.308,0.472,0.22,2.59,-2.04
G,Belgium,0.615,0.248,0.109,0.029,0.863,6.28,3.23
G,Iran,0.218,0.362,0.297,0.123,0.58,4.45,0.47
G,Egypt,0.147,0.308,0.372,0.174,0.454,3.9,-0.23
G,New Zealand,0.02,0.083,0.223,0.674,0.103,1.73,-3.47
H,Spain,0.751,0.212,0.032,0.005,0.963,7.18,5.25
H,Uruguay,0.219,0.566,0.166,0.049,0.785,5.16,1.44
H,Saudi Arabia,0.018,0.127,0.438,0.418,0.145,2.29,-2.96
H,Cape Verde,0.012,0.096,0.365,0.528,0.108,1.95,-3.74
I,France,0.516,0.289,0.155,0.039,0.805,5.92,2.69
I,Norway,0.284,0.345,0.278,0.094,0.628,4.82,1.05
I,Senegal,0.183,0.301,0.37,0.147,0.483,4.16,0.09
I,Iraq,0.018,0.065,0.197,0.72,0.083,1.57,-3.84
J,Argentina,0.692,0.221,0.076,0.011,0.912,6.8,4.17
J,Austria,0.158,0.373,0.354,0.115,0.531,4.3,0.46
J,Algeria,0.139,0.347,0.382,0.132,0.486,4.11,0.16
J,Jordan,0.011,0.059,0.187,0.742,0.07,1.4,-4.8
K,Portugal,0.494,0.339,0.122,0.045,0.833,5.86,2.48
K,Colombia,0.415,0.378,0.149,0.059,0.792,5.53,1.98
K,DR Congo,0.048,0.148,0.377,0.427,0.196,2.54,-2.06
K,Uzbekistan,0.043,0.135,0.351,0.47,0.179,2.41,-2.41
L,England,0.665,0.272,0.052,0.01,0.937,6.88,4.37
L,Croatia,0.291,0.51,0.154,0.046,0.801,5.42,2.1
L,Ghana,0.026,0.124,0.432,0.418,0.15,2.36,-2.79
L,Panama,0.018,0.094,0.362,0.526,0.112,2.02,-3.68
