group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.898,0.102,0.0,0.0,1.0,7.68,3.46
A,South Korea,0.102,0.676,0.178,0.044,0.778,5.02,0.95
A,South Africa,0.0,0.127,0.197,0.676,0.127,1.74,-2.95
A,Czech Republic,0.0,0.095,0.626,0.28,0.095,2.06,-1.46
B,Canada,0.608,0.39,0.002,0.0,0.998,5.2,5.81
B,Switzerland,0.392,0.586,0.023,0.0,0.977,5.49,3.19
B,Bosnia and Herzegovina,0.0,0.024,0.836,0.14,0.024,3.19,-1.68
B,Qatar,0.0,0.0,0.14,0.86,0.0,1.61,-7.32
C,Brazil,0.637,0.251,0.112,0.0,0.888,6.27,4.44
C,Morocco,0.338,0.648,0.013,0.0,0.987,6.53,2.99
C,Scotland,0.024,0.1,0.858,0.018,0.125,3.54,-1.44
C,Haiti,0.0,0.0,0.018,0.982,0.0,0.33,-5.99
D,United States,0.997,0.003,0.0,0.0,1.0,7.59,5.34
D,Australia,0.002,0.65,0.296,0.052,0.652,4.15,-0.16
D,Paraguay,0.0,0.348,0.576,0.076,0.348,4.45,-1.84
D,Turkey,0.0,0.0,0.128,0.872,0.0,1.16,-3.34
E,Germany,0.755,0.182,0.063,0.0,0.936,7.05,8.01
E,Ivory Coast,0.232,0.646,0.121,0.001,0.878,6.32,2.16
E,Ecuador,0.014,0.168,0.772,0.047,0.181,3.49,0.68
E,Curaçao,0.0,0.004,0.044,0.952,0.005,0.48,-10.85
F,Netherlands,0.431,0.333,0.189,0.046,0.765,5.29,2.46
F,Sweden,0.316,0.28,0.387,0.016,0.596,4.97,2.83
F,Japan,0.244,0.367,0.3,0.089,0.611,4.67,1.37
F,Tunisia,0.008,0.019,0.123,0.849,0.028,1.15,-6.66
G,Belgium,0.618,0.264,0.085,0.033,0.882,5.68,3.18
G,Egypt,0.26,0.468,0.171,0.101,0.728,4.7,1.41
G,Iran,0.08,0.157,0.443,0.319,0.238,2.62,-1.72
G,New Zealand,0.042,0.11,0.301,0.547,0.152,2.11,-2.87
H,Spain,0.718,0.196,0.07,0.016,0.915,5.79,3.71
H,Uruguay,0.198,0.395,0.292,0.116,0.593,3.91,0.16
H,Cape Verde,0.044,0.236,0.315,0.405,0.28,2.86,-1.35
H,Saudi Arabia,0.04,0.173,0.324,0.463,0.213,2.64,-2.53
I,France,0.738,0.241,0.021,0.001,0.979,7.57,5.39
I,Norway,0.245,0.501,0.252,0.002,0.746,5.43,2.54
I,Senegal,0.017,0.253,0.643,0.087,0.27,3.58,-0.62
I,Iraq,0.0,0.004,0.084,0.911,0.005,0.63,-7.32
J,Argentina,0.828,0.156,0.015,0.001,0.984,7.56,5.99
J,Austria,0.157,0.588,0.246,0.009,0.745,5.17,1.15
J,Algeria,0.012,0.234,0.529,0.225,0.246,3.29,-2.12
J,Jordan,0.002,0.023,0.209,0.765,0.025,1.06,-5.01
K,Colombia,0.512,0.35,0.13,0.008,0.862,6.21,2.73
K,Portugal,0.418,0.405,0.144,0.033,0.823,5.19,2.45
K,DR Congo,0.064,0.202,0.476,0.258,0.265,3.26,-0.77
K,Uzbekistan,0.006,0.043,0.249,0.701,0.05,1.44,-4.41
L,England,0.923,0.064,0.011,0.002,0.987,7.94,5.77
L,Ghana,0.043,0.298,0.582,0.077,0.341,4.09,-1.87
L,Croatia,0.03,0.591,0.267,0.112,0.621,4.12,0.0
L,Panama,0.004,0.047,0.14,0.809,0.05,1.07,-3.91
