group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.943,0.057,0.0,0.0,1.0,7.82,3.65
A,South Korea,0.057,0.675,0.222,0.045,0.732,4.76,0.54
A,South Africa,0.0,0.17,0.241,0.589,0.17,1.93,-2.54
A,Czech Republic,0.0,0.098,0.536,0.366,0.098,1.91,-1.65
B,Canada,0.596,0.404,0.0,0.0,1.0,5.22,5.8
B,Switzerland,0.404,0.587,0.009,0.0,0.991,5.5,3.2
B,Bosnia and Herzegovina,0.0,0.009,0.757,0.234,0.009,2.76,-2.44
B,Qatar,0.0,0.0,0.234,0.766,0.0,1.97,-6.56
C,Brazil,0.619,0.26,0.112,0.008,0.879,6.0,4.32
C,Morocco,0.258,0.506,0.21,0.026,0.764,5.38,2.43
C,Scotland,0.122,0.23,0.635,0.013,0.352,4.41,-0.91
C,Haiti,0.001,0.004,0.043,0.952,0.005,0.44,-5.84
D,United States,0.513,0.316,0.154,0.017,0.829,5.75,3.03
D,Australia,0.428,0.415,0.139,0.018,0.842,5.87,2.23
D,Turkey,0.041,0.169,0.397,0.393,0.21,2.8,-1.9
D,Paraguay,0.019,0.1,0.31,0.571,0.119,2.39,-3.36
E,Germany,0.668,0.222,0.11,0.0,0.89,6.44,7.01
E,Ivory Coast,0.309,0.539,0.15,0.002,0.849,6.34,2.02
E,Ecuador,0.022,0.234,0.704,0.04,0.256,3.77,0.8
E,Curaçao,0.0,0.005,0.037,0.958,0.005,0.56,-9.84
F,Netherlands,0.424,0.337,0.188,0.051,0.761,5.22,2.24
F,Sweden,0.284,0.263,0.427,0.026,0.548,4.73,2.37
F,Japan,0.281,0.38,0.259,0.08,0.661,4.79,1.49
F,Tunisia,0.01,0.02,0.126,0.844,0.031,1.28,-6.1
G,Belgium,0.609,0.24,0.108,0.043,0.849,5.42,2.59
G,Egypt,0.181,0.407,0.253,0.159,0.588,4.1,0.53
G,Iran,0.171,0.242,0.371,0.216,0.414,3.24,-0.7
G,New Zealand,0.039,0.111,0.269,0.582,0.149,2.14,-2.42
H,Spain,0.643,0.23,0.099,0.028,0.873,5.45,2.68
H,Uruguay,0.252,0.375,0.264,0.109,0.627,3.97,0.36
H,Cape Verde,0.052,0.224,0.321,0.403,0.276,2.87,-1.06
H,Saudi Arabia,0.052,0.171,0.317,0.46,0.224,2.63,-1.98
I,France,0.645,0.323,0.03,0.001,0.968,7.21,4.32
I,Norway,0.338,0.479,0.181,0.003,0.817,5.65,2.87
I,Senegal,0.016,0.188,0.649,0.148,0.204,3.19,-1.37
I,Iraq,0.001,0.011,0.14,0.848,0.012,0.97,-5.82
J,Argentina,0.859,0.134,0.007,0.0,0.993,7.74,6.28
J,Austria,0.13,0.615,0.251,0.004,0.745,5.17,1.31
J,Algeria,0.01,0.241,0.566,0.183,0.251,3.37,-1.98
J,Jordan,0.001,0.01,0.177,0.813,0.01,0.81,-5.61
K,Colombia,0.625,0.274,0.094,0.007,0.899,6.38,2.88
K,Portugal,0.315,0.436,0.186,0.062,0.751,4.67,1.37
K,DR Congo,0.052,0.208,0.468,0.272,0.26,3.04,-0.84
K,Uzbekistan,0.009,0.081,0.251,0.659,0.09,1.73,-3.41
L,England,0.938,0.054,0.007,0.001,0.992,8.08,5.82
L,Croatia,0.031,0.666,0.236,0.067,0.697,4.46,0.61
L,Ghana,0.03,0.254,0.667,0.048,0.284,3.96,-1.84
L,Panama,0.001,0.026,0.089,0.884,0.027,0.75,-4.59
