group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.601,0.285,0.108,0.005,0.887,6.55,3.14
A,South Korea,0.348,0.489,0.141,0.022,0.837,6.01,1.44
A,Czech Republic,0.043,0.162,0.529,0.266,0.205,2.78,-0.91
A,South Africa,0.007,0.063,0.222,0.708,0.071,1.62,-3.67
B,Switzerland,0.601,0.228,0.139,0.031,0.83,6.19,3.35
B,Canada,0.255,0.41,0.259,0.077,0.664,4.46,1.2
B,Bosnia and Herzegovina,0.123,0.291,0.42,0.166,0.414,3.72,-0.09
B,Qatar,0.021,0.071,0.182,0.726,0.092,1.54,-4.46
C,Brazil,0.695,0.221,0.074,0.01,0.916,6.88,4.95
C,Morocco,0.2,0.449,0.279,0.073,0.649,4.83,1.14
C,Scotland,0.096,0.278,0.456,0.17,0.374,3.69,-0.64
C,Haiti,0.009,0.053,0.192,0.747,0.061,1.36,-5.45
D,United States,0.644,0.276,0.07,0.01,0.92,6.45,4.05
D,Turkey,0.279,0.401,0.214,0.107,0.679,4.93,1.17
D,Australia,0.057,0.171,0.337,0.434,0.229,2.64,-2.14
D,Paraguay,0.02,0.152,0.379,0.449,0.172,2.64,-3.09
E,Germany,0.654,0.238,0.1,0.008,0.893,6.77,5.18
E,Ecuador,0.206,0.412,0.335,0.046,0.618,4.92,1.48
E,Ivory Coast,0.137,0.33,0.463,0.071,0.467,4.33,0.55
E,Curaçao,0.003,0.02,0.102,0.875,0.023,0.82,-7.21
F,Netherlands,0.526,0.268,0.142,0.063,0.794,5.81,2.51
F,Japan,0.27,0.336,0.252,0.143,0.605,4.61,0.7
F,Sweden,0.147,0.257,0.336,0.261,0.403,3.64,-0.72
F,Tunisia,0.058,0.139,0.27,0.533,0.197,2.39,-2.49
G,Belgium,0.686,0.209,0.079,0.026,0.895,6.63,3.91
G,Egypt,0.173,0.375,0.288,0.164,0.547,4.21,0.11
G,Iran,0.103,0.283,0.366,0.248,0.386,3.52,-0.95
G,New Zealand,0.038,0.133,0.267,0.562,0.171,2.17,-3.06
H,Spain,0.771,0.196,0.028,0.004,0.967,7.39,6.22
H,Uruguay,0.199,0.576,0.171,0.053,0.776,5.19,1.62
H,Cape Verde,0.016,0.125,0.424,0.435,0.141,2.29,-3.82
H,Saudi Arabia,0.013,0.103,0.376,0.508,0.116,2.01,-4.03
I,France,0.62,0.266,0.101,0.013,0.886,6.65,4.15
I,Norway,0.258,0.413,0.277,0.053,0.67,5.06,1.74
I,Senegal,0.116,0.286,0.469,0.129,0.402,3.95,-0.26
I,Iraq,0.006,0.035,0.154,0.805,0.041,1.13,-5.63
J,Argentina,0.679,0.226,0.079,0.016,0.905,6.79,4.25
J,Austria,0.208,0.421,0.283,0.088,0.629,4.71,1.02
J,Algeria,0.099,0.288,0.437,0.176,0.387,3.72,-0.6
J,Jordan,0.015,0.065,0.201,0.72,0.08,1.49,-4.66
K,Portugal,0.591,0.304,0.083,0.022,0.895,6.48,3.87
K,Colombia,0.343,0.453,0.155,0.05,0.796,5.54,2.17
K,DR Congo,0.039,0.138,0.416,0.406,0.177,2.54,-2.65
K,Uzbekistan,0.028,0.105,0.346,0.522,0.132,2.13,-3.39
L,England,0.664,0.235,0.077,0.024,0.899,6.64,4.02
L,Croatia,0.241,0.446,0.22,0.093,0.687,4.89,1.09
L,Ghana,0.058,0.188,0.392,0.362,0.246,2.85,-2.06
L,Panama,0.037,0.13,0.311,0.522,0.167,2.24,-3.05
