group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.601,0.286,0.108,0.005,0.887,6.56,3.17
A,South Korea,0.35,0.49,0.138,0.022,0.84,6.02,1.48
A,Czech Republic,0.042,0.161,0.532,0.265,0.203,2.77,-0.92
A,South Africa,0.007,0.063,0.221,0.709,0.07,1.6,-3.73
B,Switzerland,0.44,0.27,0.228,0.061,0.71,4.7,1.43
B,Canada,0.356,0.339,0.217,0.087,0.695,4.52,1.35
B,Bosnia and Herzegovina,0.173,0.287,0.342,0.198,0.459,3.75,-0.04
B,Qatar,0.031,0.104,0.212,0.653,0.135,2.11,-2.74
C,Brazil,0.576,0.284,0.123,0.017,0.86,5.89,4.05
C,Morocco,0.283,0.464,0.208,0.045,0.748,5.3,2.42
C,Scotland,0.136,0.243,0.589,0.032,0.379,4.43,-1.08
C,Haiti,0.004,0.008,0.08,0.907,0.012,0.66,-5.4
D,United States,0.733,0.175,0.081,0.01,0.908,6.47,4.11
D,Australia,0.201,0.45,0.279,0.07,0.651,4.86,0.68
D,Turkey,0.047,0.204,0.379,0.37,0.251,2.98,-1.66
D,Paraguay,0.019,0.17,0.261,0.55,0.189,2.62,-3.13
E,Germany,0.744,0.187,0.069,0.0,0.93,6.99,7.89
E,Ivory Coast,0.24,0.631,0.128,0.001,0.871,6.32,2.18
E,Ecuador,0.016,0.179,0.765,0.04,0.195,3.56,0.95
E,Curaçao,0.0,0.004,0.037,0.959,0.004,0.46,-11.01
F,Netherlands,0.425,0.339,0.191,0.046,0.764,5.29,2.43
F,Sweden,0.306,0.276,0.403,0.016,0.582,4.9,2.76
F,Japan,0.261,0.367,0.289,0.082,0.629,4.75,1.49
F,Tunisia,0.008,0.018,0.118,0.856,0.026,1.12,-6.68
G,Belgium,0.624,0.258,0.084,0.033,0.883,5.68,3.16
G,Egypt,0.252,0.469,0.174,0.105,0.721,4.66,1.34
G,Iran,0.08,0.159,0.437,0.324,0.239,2.61,-1.72
G,New Zealand,0.044,0.114,0.305,0.537,0.158,2.14,-2.79
H,Spain,0.712,0.198,0.072,0.018,0.91,5.77,3.64
H,Uruguay,0.195,0.383,0.298,0.125,0.578,3.86,0.1
H,Cape Verde,0.05,0.248,0.311,0.39,0.298,2.93,-1.23
H,Saudi Arabia,0.043,0.171,0.319,0.467,0.214,2.63,-2.52
I,France,0.626,0.264,0.097,0.013,0.89,6.68,4.31
I,Norway,0.256,0.417,0.275,0.052,0.673,5.07,1.78
I,Senegal,0.112,0.285,0.475,0.129,0.397,3.94,-0.31
I,Iraq,0.006,0.034,0.153,0.807,0.04,1.12,-5.78
J,Argentina,0.675,0.226,0.082,0.018,0.9,6.75,4.26
J,Austria,0.201,0.413,0.294,0.092,0.614,4.66,0.93
J,Algeria,0.109,0.296,0.427,0.168,0.405,3.8,-0.47
J,Jordan,0.015,0.065,0.197,0.723,0.08,1.49,-4.71
K,Portugal,0.59,0.306,0.082,0.022,0.896,6.49,3.92
K,Colombia,0.344,0.454,0.154,0.048,0.798,5.55,2.2
K,DR Congo,0.039,0.14,0.42,0.4,0.179,2.55,-2.64
K,Uzbekistan,0.026,0.101,0.343,0.53,0.127,2.09,-3.48
L,England,0.671,0.232,0.074,0.023,0.903,6.68,4.14
L,Croatia,0.236,0.451,0.219,0.094,0.687,4.87,1.09
L,Ghana,0.057,0.187,0.39,0.366,0.243,2.83,-2.15
L,Panama,0.036,0.131,0.316,0.517,0.166,2.24,-3.08
