group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.699,0.259,0.04,0.002,0.958,7.16,4.19
A,South Korea,0.286,0.586,0.115,0.013,0.872,5.99,1.37
A,Czech Republic,0.011,0.072,0.492,0.425,0.082,1.95,-2.37
A,South Africa,0.005,0.083,0.352,0.56,0.088,1.88,-3.19
B,Canada,0.476,0.286,0.169,0.069,0.763,4.81,1.66
B,Switzerland,0.365,0.317,0.219,0.099,0.682,4.42,1.03
B,Qatar,0.082,0.194,0.31,0.415,0.275,2.89,-1.41
B,Bosnia and Herzegovina,0.077,0.203,0.303,0.417,0.28,2.87,-1.28
C,Brazil,0.455,0.349,0.155,0.041,0.804,5.42,2.48
C,Morocco,0.369,0.383,0.192,0.056,0.752,5.18,2.07
C,Scotland,0.166,0.245,0.537,0.052,0.411,4.43,-0.86
C,Haiti,0.01,0.023,0.116,0.85,0.034,1.03,-3.69
D,Australia,0.487,0.405,0.097,0.01,0.892,6.28,2.78
D,United States,0.477,0.382,0.13,0.011,0.86,5.79,3.11
D,Turkey,0.022,0.133,0.445,0.4,0.155,2.56,-2.21
D,Paraguay,0.014,0.079,0.329,0.578,0.093,2.19,-3.69
E,Germany,0.629,0.246,0.123,0.002,0.875,6.18,6.64
E,Ivory Coast,0.333,0.481,0.179,0.007,0.815,6.09,1.56
E,Ecuador,0.035,0.253,0.602,0.11,0.288,3.56,0.29
E,Curaçao,0.002,0.02,0.096,0.882,0.022,1.12,-8.5
F,Japan,0.402,0.365,0.186,0.046,0.767,5.3,2.28
F,Netherlands,0.359,0.378,0.207,0.056,0.737,5.17,2.05
F,Sweden,0.23,0.243,0.505,0.021,0.474,4.46,2.18
F,Tunisia,0.009,0.013,0.101,0.877,0.022,1.11,-6.51
G,Iran,0.331,0.262,0.24,0.167,0.594,3.99,0.4
G,Belgium,0.33,0.265,0.236,0.169,0.595,4.2,0.69
G,Egypt,0.191,0.249,0.267,0.293,0.44,3.56,-0.19
G,New Zealand,0.147,0.224,0.258,0.371,0.371,3.05,-0.9
H,Spain,0.613,0.231,0.119,0.037,0.844,5.38,2.49
H,Uruguay,0.243,0.346,0.27,0.141,0.59,3.89,0.24
H,Saudi Arabia,0.079,0.203,0.326,0.392,0.282,2.86,-1.53
H,Cape Verde,0.064,0.22,0.286,0.43,0.284,2.88,-1.21
I,France,0.714,0.255,0.029,0.002,0.969,7.31,4.37
I,Norway,0.265,0.518,0.211,0.006,0.784,5.26,2.37
I,Senegal,0.018,0.207,0.572,0.204,0.224,3.11,-1.45
I,Iraq,0.003,0.02,0.189,0.789,0.023,1.28,-5.29
J,Argentina,0.872,0.117,0.01,0.001,0.989,7.73,6.09
J,Austria,0.117,0.623,0.247,0.013,0.74,4.93,0.79
J,Algeria,0.009,0.226,0.456,0.309,0.235,3.0,-2.59
J,Jordan,0.003,0.034,0.286,0.678,0.036,1.35,-4.3
K,Colombia,0.762,0.176,0.053,0.009,0.938,6.83,3.59
K,Portugal,0.16,0.404,0.287,0.149,0.564,3.82,0.15
K,DR Congo,0.057,0.226,0.361,0.355,0.284,2.84,-1.3
K,Uzbekistan,0.02,0.194,0.299,0.487,0.214,2.38,-2.44
L,England,0.895,0.083,0.019,0.003,0.979,7.52,4.69
L,Ghana,0.062,0.354,0.463,0.121,0.415,4.19,-1.44
L,Croatia,0.03,0.443,0.282,0.246,0.472,3.49,-0.92
L,Panama,0.013,0.121,0.236,0.63,0.134,1.79,-2.33
