group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.602,0.28,0.113,0.005,0.882,6.55,3.16
A,South Korea,0.345,0.489,0.144,0.023,0.833,5.99,1.42
A,Czech Republic,0.047,0.171,0.536,0.247,0.217,2.86,-0.79
A,South Africa,0.007,0.06,0.208,0.725,0.067,1.56,-3.78
B,Switzerland,0.542,0.3,0.129,0.029,0.842,6.17,3.33
B,Canada,0.331,0.395,0.214,0.06,0.726,5.3,1.89
B,Bosnia and Herzegovina,0.111,0.242,0.446,0.2,0.354,3.62,-0.75
B,Qatar,0.016,0.062,0.211,0.71,0.078,1.54,-4.47
C,Brazil,0.702,0.216,0.072,0.01,0.918,6.91,5.04
C,Morocco,0.195,0.454,0.279,0.071,0.65,4.82,1.13
C,Scotland,0.094,0.277,0.455,0.174,0.371,3.67,-0.7
C,Haiti,0.008,0.053,0.193,0.745,0.061,1.36,-5.47
D,United States,0.368,0.289,0.21,0.133,0.657,4.93,1.21
D,Turkey,0.358,0.292,0.216,0.133,0.651,4.89,1.15
D,Paraguay,0.179,0.25,0.302,0.27,0.428,3.74,-0.44
D,Australia,0.095,0.169,0.272,0.464,0.264,2.79,-1.93
E,Germany,0.654,0.239,0.1,0.008,0.893,6.77,5.27
E,Ecuador,0.206,0.412,0.337,0.046,0.617,4.92,1.51
E,Ivory Coast,0.137,0.33,0.463,0.07,0.467,4.34,0.57
E,Curaçao,0.003,0.02,0.101,0.877,0.022,0.82,-7.36
F,Netherlands,0.523,0.27,0.142,0.065,0.793,5.8,2.54
F,Japan,0.27,0.334,0.252,0.145,0.604,4.6,0.71
F,Sweden,0.148,0.257,0.336,0.259,0.405,3.66,-0.71
F,Tunisia,0.059,0.139,0.27,0.532,0.198,2.4,-2.53
G,Belgium,0.68,0.212,0.081,0.027,0.893,6.61,3.93
G,Egypt,0.177,0.374,0.287,0.162,0.551,4.24,0.16
G,Iran,0.105,0.28,0.366,0.25,0.385,3.52,-0.98
G,New Zealand,0.038,0.133,0.267,0.561,0.171,2.18,-3.12
H,Spain,0.772,0.196,0.028,0.005,0.967,7.39,6.25
H,Uruguay,0.2,0.576,0.17,0.054,0.775,5.17,1.61
H,Cape Verde,0.015,0.117,0.407,0.462,0.132,2.19,-3.95
H,Saudi Arabia,0.014,0.111,0.395,0.48,0.125,2.11,-3.91
I,France,0.622,0.265,0.099,0.013,0.887,6.66,4.24
I,Norway,0.255,0.413,0.278,0.054,0.668,5.05,1.75
I,Senegal,0.116,0.286,0.466,0.132,0.402,3.94,-0.29
I,Iraq,0.007,0.036,0.157,0.8,0.043,1.15,-5.69
J,Argentina,0.675,0.229,0.079,0.017,0.904,6.77,4.28
J,Austria,0.211,0.421,0.281,0.086,0.632,4.73,1.07
J,Algeria,0.099,0.286,0.439,0.176,0.385,3.72,-0.6
J,Jordan,0.015,0.065,0.2,0.72,0.079,1.49,-4.76
K,Portugal,0.589,0.305,0.083,0.022,0.895,6.47,3.93
K,Colombia,0.344,0.452,0.154,0.049,0.796,5.54,2.22
K,DR Congo,0.039,0.138,0.417,0.407,0.176,2.53,-2.7
K,Uzbekistan,0.028,0.105,0.346,0.521,0.133,2.13,-3.45
L,England,0.661,0.237,0.078,0.024,0.898,6.63,4.06
L,Croatia,0.244,0.444,0.219,0.093,0.688,4.9,1.13
L,Ghana,0.058,0.19,0.393,0.359,0.248,2.87,-2.07
L,Panama,0.037,0.129,0.31,0.524,0.166,2.24,-3.12
