group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.601,0.287,0.107,0.005,0.888,6.56,3.16
A,South Korea,0.35,0.491,0.138,0.022,0.841,6.03,1.47
A,Czech Republic,0.042,0.161,0.534,0.264,0.203,2.77,-0.92
A,South Africa,0.007,0.062,0.221,0.709,0.069,1.6,-3.71
B,Switzerland,0.44,0.27,0.228,0.061,0.71,4.71,1.42
B,Canada,0.356,0.339,0.218,0.087,0.695,4.52,1.34
B,Bosnia and Herzegovina,0.172,0.287,0.342,0.198,0.46,3.75,-0.04
B,Qatar,0.031,0.104,0.212,0.653,0.135,2.11,-2.71
C,Brazil,0.576,0.284,0.123,0.017,0.861,5.89,4.02
C,Morocco,0.283,0.464,0.207,0.045,0.748,5.3,2.4
C,Scotland,0.136,0.243,0.589,0.031,0.379,4.43,-1.06
C,Haiti,0.004,0.008,0.08,0.907,0.012,0.66,-5.36
D,United States,0.734,0.175,0.081,0.01,0.909,6.47,4.1
D,Australia,0.2,0.452,0.279,0.069,0.652,4.86,0.69
D,Turkey,0.047,0.204,0.379,0.37,0.251,2.98,-1.66
D,Paraguay,0.019,0.169,0.26,0.551,0.188,2.62,-3.13
E,Germany,0.744,0.187,0.069,0.0,0.931,6.99,7.87
E,Ivory Coast,0.24,0.631,0.128,0.001,0.87,6.32,2.17
E,Ecuador,0.016,0.179,0.765,0.04,0.195,3.56,0.93
E,Curaçao,0.0,0.004,0.037,0.959,0.004,0.46,-10.97
F,Netherlands,0.425,0.338,0.191,0.046,0.763,5.29,2.4
F,Sweden,0.306,0.276,0.402,0.016,0.582,4.9,2.78
F,Japan,0.261,0.368,0.289,0.082,0.629,4.75,1.48
F,Tunisia,0.008,0.018,0.118,0.856,0.026,1.12,-6.65
G,Belgium,0.623,0.259,0.084,0.033,0.883,5.68,3.13
G,Egypt,0.252,0.468,0.174,0.105,0.72,4.66,1.33
G,Iran,0.08,0.159,0.437,0.324,0.239,2.62,-1.7
G,New Zealand,0.044,0.114,0.305,0.537,0.158,2.14,-2.76
H,Spain,0.712,0.198,0.072,0.018,0.91,5.77,3.61
H,Uruguay,0.195,0.383,0.298,0.124,0.578,3.86,0.1
H,Cape Verde,0.05,0.247,0.311,0.391,0.298,2.93,-1.22
H,Saudi Arabia,0.043,0.172,0.319,0.467,0.214,2.63,-2.49
I,France,0.626,0.264,0.098,0.012,0.89,6.68,4.27
I,Norway,0.256,0.417,0.275,0.052,0.673,5.07,1.77
I,Senegal,0.112,0.285,0.475,0.128,0.397,3.94,-0.31
I,Iraq,0.006,0.034,0.152,0.808,0.04,1.11,-5.73
J,Argentina,0.674,0.226,0.082,0.018,0.9,6.75,4.22
J,Austria,0.202,0.413,0.293,0.092,0.615,4.66,0.92
J,Algeria,0.109,0.295,0.428,0.168,0.404,3.8,-0.47
J,Jordan,0.015,0.065,0.197,0.722,0.08,1.49,-4.67
K,Portugal,0.591,0.305,0.082,0.022,0.896,6.48,3.88
K,Colombia,0.344,0.454,0.153,0.049,0.798,5.55,2.18
K,DR Congo,0.039,0.14,0.421,0.4,0.179,2.55,-2.61
K,Uzbekistan,0.026,0.101,0.344,0.53,0.127,2.09,-3.45
L,England,0.672,0.232,0.074,0.022,0.904,6.68,4.11
L,Croatia,0.236,0.451,0.219,0.094,0.687,4.87,1.08
L,Ghana,0.056,0.187,0.391,0.366,0.243,2.83,-2.13
L,Panama,0.036,0.131,0.316,0.518,0.166,2.24,-3.05
