group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.511,0.268,0.151,0.07,0.779,5.68,2.25
A,Czech Republic,0.222,0.297,0.282,0.199,0.519,4.16,0.08
A,South Korea,0.203,0.287,0.295,0.216,0.49,4.02,-0.11
A,South Africa,0.064,0.148,0.273,0.516,0.212,2.48,-2.22
B,Switzerland,0.569,0.321,0.091,0.019,0.89,6.43,3.9
B,Canada,0.363,0.441,0.155,0.04,0.804,5.65,2.45
B,Bosnia and Herzegovina,0.053,0.172,0.481,0.294,0.226,2.94,-1.81
B,Qatar,0.014,0.066,0.272,0.648,0.08,1.67,-4.54
C,Brazil,0.605,0.291,0.097,0.008,0.896,6.56,4.78
C,Morocco,0.309,0.457,0.208,0.026,0.766,5.57,2.31
C,Scotland,0.083,0.23,0.556,0.131,0.313,3.65,-0.57
C,Haiti,0.003,0.022,0.139,0.835,0.025,0.95,-6.52
D,Turkey,0.282,0.252,0.236,0.23,0.534,4.21,0.2
D,United States,0.263,0.247,0.242,0.249,0.51,4.09,0.01
D,Australia,0.244,0.256,0.255,0.245,0.5,4.06,0.03
D,Paraguay,0.211,0.246,0.267,0.276,0.457,3.84,-0.23
E,Germany,0.553,0.293,0.147,0.007,0.846,6.26,4.42
E,Ecuador,0.306,0.405,0.265,0.023,0.712,5.42,2.13
E,Ivory Coast,0.139,0.29,0.505,0.066,0.429,4.25,0.47
E,Curaçao,0.002,0.012,0.083,0.903,0.014,0.72,-7.01
F,Netherlands,0.494,0.292,0.147,0.066,0.786,5.68,2.35
F,Japan,0.331,0.347,0.212,0.11,0.678,4.96,1.22
F,Sweden,0.113,0.208,0.334,0.345,0.321,3.19,-1.49
F,Tunisia,0.062,0.152,0.306,0.479,0.215,2.56,-2.08
G,Belgium,0.629,0.242,0.102,0.027,0.871,6.34,3.32
G,Iran,0.215,0.37,0.293,0.123,0.585,4.44,0.45
G,Egypt,0.136,0.304,0.378,0.182,0.44,3.82,-0.33
G,New Zealand,0.02,0.084,0.227,0.668,0.105,1.74,-3.45
H,Spain,0.754,0.211,0.03,0.005,0.965,7.19,5.28
H,Uruguay,0.218,0.57,0.164,0.048,0.788,5.18,1.47
H,Saudi Arabia,0.017,0.124,0.438,0.42,0.142,2.27,-3.0
H,Cape Verde,0.011,0.094,0.368,0.527,0.106,1.95,-3.75
I,France,0.52,0.29,0.153,0.037,0.81,5.95,2.75
I,Norway,0.287,0.349,0.275,0.089,0.636,4.86,1.12
I,Senegal,0.177,0.299,0.378,0.146,0.476,4.13,0.06
I,Iraq,0.016,0.062,0.195,0.727,0.078,1.53,-3.93
J,Argentina,0.692,0.221,0.076,0.011,0.913,6.8,4.16
J,Austria,0.163,0.381,0.347,0.109,0.544,4.35,0.55
J,Algeria,0.134,0.34,0.391,0.135,0.474,4.06,0.11
J,Jordan,0.011,0.058,0.186,0.746,0.069,1.39,-4.81
K,Portugal,0.482,0.345,0.126,0.047,0.827,5.8,2.39
K,Colombia,0.427,0.372,0.145,0.056,0.799,5.57,2.03
K,DR Congo,0.049,0.152,0.383,0.416,0.201,2.57,-1.96
K,Uzbekistan,0.042,0.131,0.346,0.48,0.173,2.36,-2.46
L,England,0.664,0.274,0.052,0.01,0.938,6.87,4.36
L,Croatia,0.293,0.512,0.151,0.044,0.805,5.44,2.12
L,Ghana,0.026,0.122,0.433,0.42,0.147,2.35,-2.8
L,Panama,0.018,0.092,0.364,0.526,0.11,2.01,-3.68
