date,home,away,stage,side,p1,px,p2,pick,expected_points,pick_outcome,expected_points_outcome,odds_used,p_0_0,p_0_1,p_0_2,p_0_3,p_0_4,p_0_5,p_0_6,p_0_7,p_0_8,p_1_0,p_1_1,p_1_2,p_1_3,p_1_4,p_1_5,p_1_6,p_1_7,p_1_8,p_2_0,p_2_1,p_2_2,p_2_3,p_2_4,p_2_5,p_2_6,p_2_7,p_2_8,p_3_0,p_3_1,p_3_2,p_3_3,p_3_4,p_3_5,p_3_6,p_3_7,p_3_8,p_4_0,p_4_1,p_4_2,p_4_3,p_4_4,p_4_5,p_4_6,p_4_7,p_4_8,p_5_0,p_5_1,p_5_2,p_5_3,p_5_4,p_5_5,p_5_6,p_5_7,p_5_8,p_6_0,p_6_1,p_6_2,p_6_3,p_6_4,p_6_5,p_6_6,p_6_7,p_6_8,p_7_0,p_7_1,p_7_2,p_7_3,p_7_4,p_7_5,p_7_6,p_7_7,p_7_8,p_8_0,p_8_1,p_8_2,p_8_3,p_8_4,p_8_5,p_8_6,p_8_7,p_8_8
2026-06-28,South Africa,Canada,r32_r16,,0.23468778136072954,0.3211700106956797,0.4441422079435908,0-1,2.3107749015033665,0-1,2.3107749015033665,False,0.16051764356454037,0.1625381473287485,0.09779225802280556,0.03927565173144293,0.01235213050073351,0.003244833124732273,0.0007418974734060782,0.00015195472215880307,2.848754529737096e-05,0.10523561043007061,0.1305997577582013,0.07110890301114728,0.02847138323690615,0.00892276355160891,0.0023343406522383318,0.0005311186577467125,0.00010814345414553511,2.012921991797177e-05,0.04285602478948997,0.047090291220296496,0.027018387567735145,0.010785854606676342,0.0033686735786988436,0.0008777827536270935,0.00019877772929207646,4.024866420178837e-05,7.442153028049877e-06,0.011390276385246614,0.01248631917282843,0.007145540505147999,0.002844051955984946,0.0008851782996913098,0.00022970976772410356,5.176827689830859e-05,1.0422809995999198e-05,1.91449780953882e-06,0.0023681103104440824,0.0025899461522534005,0.0014782599921432814,0.0005865657459978178,0.0001818938263321903,4.6996714554314246e-05,1.0536586504325224e-05,2.1085170969211708e-06,3.845742933108539e-07,0.0004103633498763523,0.000447768874381821,0.0002548874519052121,0.00010081182789178167,3.1139087845757776e-05,8.007332372388612e-06,1.7850284785432433e-06,3.5481601969023853e-07,6.421271176345489e-08,6.16635214412104e-05,6.71329574130589e-05,3.8110816842094106e-05,1.5022533060696756e-05,4.620719577120677e-06,1.1820641821912793e-06,2.618631951033495e-07,5.166516898728631e-08,9.269374654056244e-09,8.2535488174916e-06,8.966634722515407e-06,5.076582058967426e-06,1.9941484167152935e-06,6.106561758765408e-07,1.5535086339391448e-07,3.418135173215223e-08,6.689144565571792e-09,1.1887089220788321e-09,1.003152376879733e-06,1.0877788492928068e-06,6.142809295535608e-07,2.404627595680166e-07,7.330046086916072e-08,1.8539279225868473e-08,4.049723948233063e-09,7.856074999426421e-10,1.3817366894977268e-10
2026-06-29,Brazil,Japan,r32_r16,,0.5048153357423429,0.2696595931843854,0.22552507107327166,1-0,2.359262888431794,1-0,2.359262888431793,False,0.09862254344282294,0.0752809341726424,0.03793347811823758,0.01220109150472158,0.0030627586972714928,0.0006396193199022272,0.00011567388106671086,1.8615749506802963e-05,2.7181524780203367e-06,0.12440684235425911,0.12308017635737549,0.05399279745696236,0.01737544977409651,0.004364966014675222,0.0009124414892093535,0.00016519425943192754,2.6616615982986333e-05,3.8911058826375395e-06,0.09805551601600657,0.08716512880369894,0.04038993880537478,0.012997996056077403,0.0032659394111813622,0.0006829527128829669,0.0001237076976210095,1.994410725904354e-05,2.9175996034291435e-06,0.05140545067792416,0.04567618165702286,0.021158607795053744,0.006807774087275622,0.0017103826704791864,0.0003576591709256287,6.478929555027962e-05,1.0446757331376313e-05,1.5285676524805254e-06,0.021200678916931382,0.018837316684611756,0.008725684140267333,0.002807269786747578,0.000705208892608675,0.00014744181774818405,2.6703711669733288e-05,4.304972850123842e-06,6.298136744426882e-07,0.007325210581855279,0.006513527949800752,0.003018880572043897,0.0009715902868297282,0.00024409933841262044,5.1029949774772504e-05,9.23973431338173e-06,1.4890186916833902e-06,2.1775860086211079e-07,0.0022049696281500448,0.0019642688733756556,0.0009117445964938961,0.0002937394334377377,7.384086493895466e-05,1.5439024053418307e-05,2.7949112191446383e-06,4.5021720353741317e-07,6.58058805235144e-08,0.0005936627241538839,0.0005305359708581967,0.0002468949047338439,7.969462164404994e-05,2.005762827486352e-05,4.195912911008242e-06,7.595498088602351e-07,1.2229828553491637e-07,1.786400723829978e-08,0.0001456608506370446,0.0001307728516684529,6.108857610371421e-05,1.9774652114678826e-05,4.986088492042843e-06,1.0440012817165657e-06,1.8900878549594728e-07,3.041895961358744e-08,4.4396484832834185e-09
2026-06-29,Germany,Paraguay,r32_r16,,0.5227283262482283,0.2681048424121668,0.20916683133960495,1-0,2.446519350576481,1-0,2.4465193505764806,False,0.10135503749364878,0.07243782303347786,0.034612736183919905,0.010652858814221716,0.002587710564052423,0.0005286434962802991,9.44652017445321e-05,1.5156366480758469e-05,2.2233688478033967e-06,0.1315427551375566,0.12148657590717435,0.05045742234059819,0.015550394889747163,0.003783791290440447,0.0007745994044510211,0.00013876836371338528,2.233380753471642e-05,3.2886143834414735e-06,0.10475247743543742,0.08727881712747586,0.03833609939335751,0.011829751153724104,0.0028832146190121664,0.0005914474888552991,0.00010622162460145316,1.7147019083201765e-05,2.533878773592796e-06,0.05517223084837194,0.045995776457191544,0.020223488669559656,0.006249315233940469,0.001525822896613689,0.00031367071442180557,5.647623610134603e-05,9.143421252468452e-06,1.3556699576554787e-06,0.022663653686070984,0.018911572950338105,0.008325966568344906,0.002577133505709723,0.0006304917375295178,0.00012991257630835186,2.3451082999361246e-05,3.807446757276613e-06,5.662513937342002e-07,0.00773616584879697,0.006464323280368907,0.00285082691874437,0.0008841952271942592,0.00021681221756397696,4.478583832743459e-05,8.105861526191847e-06,1.3196253819712504e-06,1.967979502244605e-07,0.002283369807349203,0.001911605560889987,0.0008448403633482044,0.00026265439255157943,6.457120834455433e-05,1.3374072660754935e-05,2.427123410569464e-06,3.9615847771387667e-07,5.922235058174146e-08,0.0005987911994067579,0.0005025143759893569,0.00022265564912906413,6.941007658871795e-05,1.711232993973058e-05,3.5544672728193764e-06,6.468272574248423e-07,1.0583550847878595e-07,1.585416907936221e-08,0.00014227866138549744,0.00011974763419152342,5.321231236220501e-05,1.6637823747645586e-05,4.114377596757048e-06,8.571657102481464e-07,1.5641200191253608e-07,2.565177916635068e-08,3.8492696679227955e-09
2026-06-29,Netherlands,Morocco,r32_r16,,0.3608490802927784,0.31627495757356894,0.32287596213365255,0-0,2.0032495348785937,1-0,1.8897280376578678,False,0.1406249156702495,0.12020555179804787,0.06319526423106757,0.021620507159753683,0.005742530009133457,0.0012621606846989696,0.00023890559072064715,4.0012694996761356e-05,6.045884427731019e-06,0.1282785430236744,0.13690579222531796,0.06415151885294405,0.021930717925051746,0.005820729208053566,0.001278397565833243,0.00024178200963758515,4.045777762328587e-05,6.107062158163375e-06,0.07223417403053167,0.06893589578816857,0.034090115261555996,0.011641578689530578,0.003086369826543099,0.0006769954948531578,0.00012785194358215784,2.135759523148248e-05,3.2177619951121474e-06,0.02683050993119604,0.02556919121951175,0.012627854883319039,0.004306546813425486,0.0011400388985627586,0.000249639162605779,4.705056653882699e-05,7.841554056554822e-06,1.1782969179507832e-06,0.007805393070944325,0.0074271457112212455,0.003662615151647568,0.0012471361325585492,0.0003295710957217415,7.202322115470182e-05,1.3542955345290495e-05,2.2510201931306637e-06,3.3720194523627475e-07,0.0018933828114689928,0.0017987517693170505,0.0008856306324872339,0.0003010608287864172,7.941438403227455e-05,1.7319290784733357e-05,3.2489824457280776e-06,5.38558791284822e-07,8.04238822829371e-08,0.0003980414349194124,0.0003775318291142093,0.00018558516316173685,6.29864059322679e-05,1.658680416688317e-05,3.6108220618448375e-06,6.759996618337759e-07,1.1179746149538331e-07,1.6650338823738898e-08,7.441076022641757e-05,7.046393724299936e-05,3.4586922325919975e-05,1.1722485025612398e-05,3.083035574368343e-06,6.70320591056925e-07,1.2533387191796194e-07,2.0698542151851122e-08,3.077528826947005e-09,1.2594701144796626e-05,1.1908847041712904e-05,5.838138846150779e-06,1.976854364884883e-06,5.19594735307042e-07,1.1293384155088613e-07,2.111315600792785e-08,3.486568196311687e-09,5.183095736454286e-10
2026-06-30,Ivory Coast,Norway,r32_r16,,0.2640825196630653,0.28680126498011094,0.4491162153568239,0-1,2.180984180958514,0-1,2.1809841809585135,False,0.10984899491868293,0.12534131580262514,0.08881361420862156,0.0414745687617941,0.015159588905122824,0.0046269473075414725,0.0012287536409955932,0.0002921491251682382,6.350699364681286e-05,0.08907233434327926,0.13014171141746989,0.08244665164107261,0.03841024717832862,0.014011172875153044,0.004269364814517253,0.0011323616951491252,0.00026899899018381363,5.8446663004665115e-05,0.046806451233226666,0.05983303957363117,0.039940671421824725,0.01856217856398749,0.0067570069644947925,0.0020554486579109337,0.0005444481456426098,0.0001292104906745477,2.8053881545555457e-05,0.01586250052401998,0.020210594561057015,0.013451741719872849,0.0062356850134823345,0.002265059959215395,0.0006878330829119641,0.00018194960356020877,4.3135841143138024e-05,9.357040077428972e-06,0.0042018050016716,0.005334599103599499,0.0035394280119327623,0.0016363243385226047,0.0005930748529868694,0.0001797919601689404,4.749867891631385e-05,1.1249566050417109e-05,2.4379652232670813e-06,0.0009269420909000951,0.0011722260005306605,0.0007750806575333531,0.00035730338681007903,0.0001292114195755581,3.910665143294415e-05,1.0319937764235169e-05,2.442246815790784e-06,5.288762507628224e-07,0.00017718594196923949,0.00022307838586809988,0.00014693683378187602,6.752726644680259e-05,2.4363951369177774e-05,7.362784937796371e-06,1.941347297034508e-06,4.592382161959524e-07,9.941629550792323e-08,3.0146513534057945e-05,3.776168688480314e-05,2.476583631209825e-05,1.1343319296044736e-05,4.083101321990405e-06,1.2322548036209002e-06,3.247525503220127e-07,7.68304640455528e-08,1.6637033471912207e-08,4.653942400316045e-06,5.795361867675235e-06,3.7823125698369278e-06,1.7259747352500558e-06,6.197672889937328e-07,1.868219120976704e-07,4.923161819279984e-08,1.1655433818556158e-08,2.5264701834348355e-09
2026-06-30,France,Sweden,r32_r16,,0.6403724381355991,0.20308564486829067,0.1565419169961102,2-1,2.6504688864555734,2-0,2.600888850438732,False,0.050232582093322625,0.03763287859108165,0.020881769331800942,0.007095886469583141,0.0018792653100388956,0.0004135401190559882,7.874549186610085e-05,1.3345666624879213e-05,2.0551746214282365e-06,0.08857549106971543,0.09316861178033989,0.04329755934672578,0.014742757042070629,0.003913642578463405,0.0008634633541975005,0.0001648648712722961,2.8012736181588918e-05,4.32288357875126e-06,0.09952018447445764,0.09395580159807594,0.04619857495864765,0.015759610875239468,0.004192601331290538,0.0009272616286650566,0.00017750748822845558,3.0239072132749948e-05,4.677280703929105e-06,0.07261270268631591,0.068643974917867,0.03380083412016461,0.011549338753865985,0.0030784240105032517,0.0006823433157814579,0.000130938926673765,2.23619453392813e-05,3.4671536787500323e-06,0.04085484082986589,0.038669442622700285,0.019065285643893076,0.00652366607799075,0.0017417501637843084,0.0003868138869454283,7.439049387930033e-05,1.273431277915188e-05,1.979041752565448e-06,0.01889553579766212,0.017905113114340475,0.008837658706267546,0.0030277071738709646,0.0008095083122510902,0.00018007813263971558,3.469862783491746e-05,5.952419566033138e-06,9.271065636631638e-07,0.007478116541578974,0.007093716609708741,0.0035048165124540267,0.001201962896557534,0.00032174462856570594,7.167396710960917e-05,1.383359239106e-05,2.377594672255393e-06,3.7106836360136676e-07,0.0026028773305842435,0.002471656431103214,0.0012222943861287107,0.00041955504832576586,0.00011241831326458614,2.507251467849176e-05,4.846074297760275e-06,8.342937602921841e-07,1.3044835361247165e-07,0.0008127245489688109,0.000772578874131543,0.0003823964653659452,0.00013136317494159637,3.522773471429076e-05,7.864579063963339e-06,1.5219509481443356e-06,2.6240766875931786e-07,4.109953912895347e-08
2026-06-30,Mexico,Ecuador,r32_r16,home,0.3060015139635536,0.34964938289845365,0.3443491031379929,0-0,2.3169089169411983,0-0,2.3169089169411987,False,0.18955400081631013,0.1513525532802621,0.07187726327136003,0.02265157600123195,0.005573842444622372,0.0011408813182847157,0.00020212008440515222,3.185158000379067e-05,4.555276260143747e-06,0.13869385557140956,0.1337197572462704,0.05733542057978969,0.018055074381700117,0.0044397854560473075,0.0009080058740655612,0.000160658099782537,2.5265007414133885e-05,3.6014851134754475e-06,0.06129559740964769,0.053110607333764354,0.0240313486405319,0.007560750059027793,0.0018577565408536235,0.0003796078210196939,6.708286269494676e-05,1.0529269726338075e-05,1.496544296731463e-06,0.018030733033244994,0.01559465485936308,0.007046018102620613,0.0022142850842246107,0.0005435515824503628,0.0001109625434057463,1.9586319039535525e-05,3.0692828994520872e-06,4.352078503123912e-07,0.004171396532311645,0.0036002410423812206,0.001623819309085759,0.0005095776535530596,0.00012494480951491638,2.5481385456510272e-05,4.493316967481314e-06,7.03280340531893e-07,9.955698089631814e-08,0.0008086202489484345,0.0006962955765892418,0.00031341606456025684,9.818907940603373e-05,2.4043270917808654e-05,4.898427516668612e-06,8.630860079427187e-07,1.349900180208165e-07,1.9093395956750013e-08,0.00013664051393630234,0.00011737876811982272,5.271688149437673e-05,1.648376873647893e-05,4.030212336659509e-06,8.202155377358548e-07,1.4442774232042461e-07,2.2582782406522545e-08,3.1939940951832356e-09,2.0672319748251505e-05,1.771632925330905e-05,7.937853978562641e-06,2.4766858097785614e-06,6.044774017199684e-07,1.2287257431676174e-07,2.162310767770688e-08,3.381008111463928e-09,4.784414165181855e-10,2.8535047140784385e-06,2.440008261247341e-06,1.0905429493531247e-06,3.3943451101205986e-07,8.26720030399748e-08,1.6779401967925734e-08,2.9505251026970586e-09,4.613490328969644e-10,6.533455296153622e-11
2026-07-01,England,DR Congo,r32_r16,,0.5706549673174023,0.30077275710280643,0.12857227557979134,1-0,2.914305677320241,1-0,2.9143056773202405,False,0.17947948295896016,0.0736996567933433,0.019204615104633276,0.0032917120371360603,0.0004484487871882344,5.172706498902505e-05,5.255536930035547e-06,4.831027375786078e-07,4.093742772102501e-08,0.21163046535427998,0.10444467915548725,0.02390379415154893,0.004086644757740648,0.0005548087987538107,6.368907833023637e-05,6.428723588121192e-06,5.858598990274688e-07,4.9105697025732314e-08,0.14204049699691387,0.06456184073883497,0.015582527364183136,0.0026580286549746637,0.00035975141328812796,4.112138585796279e-05,4.126297070792135e-06,3.730619003143674e-07,3.095138830801442e-08,0.06477420502077896,0.029402459351039203,0.007085515671083934,0.0012062644464946191,0.00016283266281995546,1.8544596755222193e-05,1.8513961283663906e-06,1.6623238235899738e-07,1.3667394337933572e-08,0.023149277426478345,0.010494467421953712,0.0025254207560708544,0.0004292052896695243,5.781000997719273e-05,6.56399766382901e-06,6.525829170454481e-07,5.826000159489764e-08,4.753891230923232e-09,0.0069086933602154664,0.0031280708183940202,0.0007517523577707908,0.00012757084038383918,1.71509306534285e-05,1.942708525510168e-06,1.925125719754331e-07,1.711046116335388e-08,1.3878649516438121e-09,0.0017916929233713873,0.0008102304340752125,0.00019446595896077434,3.2954299896084145e-05,4.423480014021767e-06,5.001095148913295e-07,4.9439004049245706e-08,4.379991092789524e-09,3.537263567343387e-10,0.00041487930247615854,0.00018737964857908052,4.4912735045465696e-05,7.600180594976544e-06,1.0187038029320822e-06,1.1499889132255414e-07,1.1349071181336338e-08,1.0033300228513186e-09,8.079868622829977e-11,8.746344576649587e-05,3.945054324220135e-05,9.441533873548527e-06,1.5951901193567862e-06,2.1349469247567863e-07,2.4068902968182148e-08,2.37250173977777e-09,2.0948902980022413e-10,1.684453666524884e-11
2026-07-01,Belgium,Senegal,r32_r16,,0.46821159940452284,0.27077033890195057,0.2610180616935266,1-0,2.1938290485380785,1-0,2.19382904853808,False,0.09088866940403774,0.07745070441572943,0.04391734388687154,0.01594540767153993,0.0045320656122072546,0.0010757204793297767,0.00022214405744461354,4.105437720387526e-05,6.930294786316203e-06,0.11241348098744211,0.12549840364726667,0.0617824876991518,0.022348500707465833,0.006325957587165379,0.001495023708770288,0.0003073931428460724,5.6576279519467876e-05,9.516457682953407e-06,0.08759806549805328,0.0871204291167528,0.04517625222427631,0.016285882136439687,0.004592844343611716,0.0010812941767597377,0.0002215031442544754,4.063379105908326e-05,6.817405208545487e-06,0.044606099418524905,0.04425719549721516,0.022887095874663834,0.008225685096321544,0.0023122330888765462,0.0005425871852283799,0.00011080974744878883,2.0276493779536028e-05,3.3964402852481304e-06,0.017688257119714095,0.01751277307726173,0.009035065700674458,0.0032387549243814225,0.0009079112652560031,0.00021247488815116276,4.328888725323964e-05,7.907289637424552e-06,1.323512281198899e-06,0.005824366670753133,0.0057561015790031375,0.0029637773445309176,0.0010601395548057902,0.0002965317819652449,6.925160588583108e-05,1.4084984025639951e-05,2.5701881638758248e-06,4.3019632882429477e-07,0.0016584255429889958,0.0016365367948380232,0.0008413402958613698,0.00030045931112570066,8.390651402776208e-05,1.9567547974148863e-05,3.9758425865370776e-06,7.252859961742107e-07,1.2148067102202976e-07,0.0004199101161146513,0.00041389616295578306,0.00021255685996608562,7.582901161618128e-05,2.115583571573295e-05,4.930155405187116e-06,1.001467706019829e-06,1.82764063275396e-07,3.065035175678367e-08,9.648526302359709e-05,9.503472455881705e-05,4.878003497715154e-05,1.7395149287333508e-05,4.851957848019563e-06,1.1307379992284892e-06,2.2979458435187448e-07,4.198020659262788e-08,7.052256716168727e-09
2026-07-01,United States,Bosnia and Herzegovina,r32_r16,home,0.5663126802400551,0.23342637537609437,0.20026094438385048,1-0,2.4552136268941487,1-0,2.4552136268941487,False,0.06507518285756476,0.05218015329110942,0.029563529233777728,0.010480026720816127,0.002905763409791211,0.0006719726622461158,0.000134913913277438,2.4160040125381922e-05,3.932887834180261e-06,0.0993338302827538,0.10846354121317782,0.05224698287765742,0.018477303737425843,0.00510829831304981,0.0011772595077758504,0.00023544196210107396,4.1986426662768234e-05,6.805983140221694e-06,0.09638613752215816,0.09397465307235173,0.04774187974952444,0.016849964258685873,0.0046474177421560936,0.0010681949065515092,0.00021302444113307516,3.7882888552301345e-05,6.125813807034158e-06,0.060875285568396255,0.05925923500277382,0.030056277740673147,0.010589197384634659,0.002915005847052777,0.0006686738031379019,0.00013310172820619792,2.3635613896596636e-05,3.819383832230329e-06,0.02978442627775714,0.028946169280871636,0.014657687154559933,0.005155631821422837,0.001416962543743481,0.00032456846960769053,6.454044566674761e-05,1.1458029273089206e-05,1.8533420681281705e-06,0.012035872187667667,0.011676431785514418,0.005902724957589691,0.0020728931474493792,0.0005689050231522415,0.0001301783460704632,2.5877293907097685e-05,4.597691268844355e-06,7.454647972881614e-07,0.00418175855237007,0.0040490657450645735,0.002043230070160768,0.0007163693943419664,0.00019634892973445666,4.4895124015987885e-05,8.926052130661825e-06,1.5884717816989952e-06,2.5847042008986024e-07,0.0012838135326653298,0.0012404970598490117,0.0006247716998890096,0.0002186765541484445,5.985881172563494e-05,1.3678452403289149e-05,2.7209935055201823e-06,4.852877757555696e-07,7.931125761296821e-08,0.0003551384817285956,0.0003424027739456601,0.00017209596364347557,6.0126472900404735e-05,1.643621643606337e-05,3.7537445643699366e-06,7.472368850783011e-07,1.3360498558144713e-07,2.1941472300446784e-08
