mode,sigma_conf,matches,points,pts_per_match,exact,rps,log_loss,secs
capped,0.1,290,605.0,2.086206896551724,38,0.19034348358018077,2.7728509290726575,726.3
capped,0.5,290,598.0,2.0620689655172413,38,0.19045879426926132,2.7734893680147166,766.6
weak,0.1,290,598.0,2.0620689655172413,38,0.1902600588874577,2.7735698767887658,738.5
weak,0.5,290,605.0,2.086206896551724,38,0.1904990651051854,2.7741453898125275,736.3
