dynamic,time_block,sigma_conf,propagate,matches,points,pts_per_match,exact,rps,log_loss,secs
False,,0.1,False,290,610.0,2.103448275862069,38,0.19045955793041075,2.774249693318139,718.9
False,,0.25,False,290,605.0,2.086206896551724,38,0.19048798743966883,2.7736684553090964,704.4
False,,0.5,False,290,605.0,2.086206896551724,38,0.19048809787997953,2.7732141190217763,713.4
False,,1.0,False,290,605.0,2.086206896551724,38,0.19056492069182376,2.7742666365375084,723.4
False,,0.1,True,290,610.0,2.103448275862069,38,0.19064863547883096,2.7737198119244364,717.3
False,,0.25,True,290,605.0,2.086206896551724,38,0.19069110255263097,2.7731090394822573,701.3
False,,0.5,True,290,610.0,2.103448275862069,38,0.19066616818036336,2.7727085103353097,714.6
False,,1.0,True,290,610.0,2.103448275862069,38,0.19074495004644582,2.7739908450148256,723.2
True,year,0.1,False,290,593.0,2.0448275862068965,39,0.18882135684605603,2.7683507612409413,1870.8
True,year,0.25,False,290,597.0,2.0586206896551724,38,0.18886680174872006,2.768670233523668,1878.6
True,year,0.5,False,290,598.0,2.0620689655172413,40,0.18874823771416985,2.7679863170253025,1924.4
True,year,1.0,False,290,590.0,2.0344827586206895,38,0.18877619990712077,2.767963385546692,1924.7
True,year,0.1,True,290,609.0,2.1,40,0.18894906305749623,2.768462171779387,1895.5
True,year,0.25,True,290,609.0,2.1,40,0.18901619588517427,2.7686815722444194,1887.6
True,year,0.5,True,290,607.0,2.093103448275862,40,0.1888759731753904,2.7682284866111746,1935.1
True,year,1.0,True,290,598.0,2.0620689655172413,39,0.18890917824616127,2.768497603415722,1930.1
True,halfyear,0.5,False,290,604.0,2.0827586206896553,39,0.18842373606664936,2.768349008647711,2318.1
True,quarter,0.5,False,290,613.0,2.113793103448276,40,0.1883855546606171,2.768278198295938,3024.2
