home_team,away_team,odds_1,odds_X,odds_2
Mexico,South Africa,1.43,4.5,8.77
South Korea,Czech Republic,2.7,3.1,2.9
United States,Paraguay,2.06,3.3,3.94
Qatar,Switzerland,14.23,7.0,1.21
Brazil,Morocco,1.7,3.74,5.5
Haiti,Scotland,6.0,4.4,1.55
Canada,Bosnia & Herzegovina,1.85,3.58,4.65
Australia,Turkey,5.16,3.76,1.71
Germany,Curaçao,1.04,19.0,41.0
Netherlands,Japan,2.07,3.58,3.74
Ivory Coast,Ecuador,3.25,2.86,2.63
Sweden,Tunisia,1.95,3.47,4.2
Spain,Cape Verde,1.08,13.0,29.0
Belgium,Egypt,1.61,4.0,6.0
Saudi Arabia,Uruguay,8.0,4.35,1.46
Iran,New Zealand,1.93,3.4,4.5
France,Senegal,1.47,4.6,7.5
Iraq,Norway,14.5,7.15,1.21
Argentina,Algeria,1.44,4.52,8.0
Austria,Jordan,1.36,5.23,9.0
Portugal,DR Congo,1.29,5.52,11.0
England,Croatia,1.72,3.8,5.18
Ghana,Panama,2.33,3.3,3.3
Uzbekistan,Colombia,9.5,4.8,1.38
Czech Republic,South Africa,1.85,3.6,4.6
Switzerland,Bosnia & Herzegovina,1.55,4.2,6.4
Canada,Qatar,1.29,5.8,12.0
Mexico,South Korea,2.07,3.3,3.97
United States,Australia,1.61,4.4,5.35
Scotland,Morocco,5.6,3.65,1.71
Brazil,Haiti,1.1,11.25,24.0
Turkey,Paraguay,2.06,3.45,3.85
Netherlands,Sweden,1.72,4.1,4.8
Germany,Ivory Coast,1.51,4.7,6.1
Ecuador,Curaçao,1.13,9.5,22.17
Tunisia,Japan,6.5,4.05,1.57
Spain,Saudi Arabia,1.09,10.5,27.63
Belgium,Iran,1.43,4.7,7.5
Uruguay,Cape Verde,1.45,4.3,8.5
New Zealand,Egypt,5.75,4.15,1.6
Argentina,Austria,1.58,4.0,6.1
France,Iraq,1.08,11.0,31.0
Norway,Senegal,2.3,3.5,3.1
Jordan,Algeria,5.95,4.15,1.57
Portugal,Uzbekistan,1.2,7.0,15.0
England,Ghana,1.22,6.5,14.0
Panama,Croatia,6.7,4.0,1.53
Colombia,DR Congo,1.5,4.25,7.0
Bosnia & Herzegovina,Qatar,1.43,4.89,6.8
Switzerland,Canada,2.45,3.08,3.24
Scotland,Brazil,8.0,5.1,1.38
Morocco,Haiti,1.2,6.75,15.0
Czech Republic,Mexico,3.57,3.65,2.01
South Africa,South Korea,5.75,3.95,1.61
Curaçao,Ivory Coast,21.0,8.52,1.13
Ecuador,Germany,5.0,3.84,1.7
Japan,Sweden,2.17,3.45,3.36
Tunisia,Netherlands,9.58,5.5,1.3
Paraguay,Australia,2.71,2.33,3.8
Turkey,United States,3.1,3.9,2.12
Norway,France,4.35,3.75,1.8
Senegal,Iraq,1.3,5.4,10.5
Cape Verde,Saudi Arabia,2.75,3.62,2.4
Uruguay,Spain,6.0,4.2,1.53
New Zealand,Belgium,12.5,6.25,1.22
Egypt,Iran,2.1,3.15,3.9
Croatia,Ghana,1.61,3.9,5.75
Panama,England,11.0,6.25,1.24
Colombia,Portugal,3.55,3.45,2.05
DR Congo,Uzbekistan,2.1,3.55,3.4
Algeria,Austria,3.07,3.06,2.48
Jordan,Argentina,13.49,6.7,1.2
