home_team,away_team,odds_1,odds_X,odds_2
Mexico,South Africa,1.43,4.5,8.77
South Korea,Czech Republic,2.7,3.1,2.9
United States,Paraguay,2.06,3.3,3.94
Qatar,Switzerland,14.69,6.7,1.21
Brazil,Morocco,1.64,3.9,5.75
Haiti,Scotland,5.83,4.23,1.57
Canada,Bosnia & Herzegovina,1.85,3.58,4.65
Australia,Turkey,5.25,3.83,1.69
Germany,Curaçao,1.04,18.0,41.0
Netherlands,Japan,2.0,3.6,3.75
Ivory Coast,Ecuador,3.6,2.84,2.43
Sweden,Tunisia,1.89,3.45,4.4
Spain,Cape Verde,1.1,11.0,26.0
Belgium,Egypt,1.64,3.92,5.6
Saudi Arabia,Uruguay,7.8,4.4,1.44
Iran,New Zealand,1.83,3.5,4.7
France,Senegal,1.47,4.47,7.34
Iraq,Norway,14.4,7.0,1.2
Argentina,Algeria,1.4,4.6,9.0
Austria,Jordan,1.33,5.5,9.5
Portugal,DR Congo,1.28,5.75,11.0
England,Croatia,1.73,3.8,4.9
Ghana,Panama,2.12,3.45,3.5
Uzbekistan,Colombia,8.9,4.7,1.38
Czech Republic,South Africa,1.68,3.85,5.11
Switzerland,Bosnia & Herzegovina,1.59,4.0,5.7
Canada,Qatar,1.3,5.25,10.6
Mexico,South Korea,1.98,3.35,4.1
United States,Australia,1.75,3.8,4.5
Scotland,Morocco,4.1,3.28,1.98
Brazil,Haiti,1.07,12.0,30.0
Turkey,Paraguay,2.2,3.2,3.45
Netherlands,Sweden,1.62,4.02,5.25
Germany,Ivory Coast,1.54,4.3,5.7
Ecuador,Curaçao,1.18,6.75,15.0
Tunisia,Japan,5.3,3.6,1.7
Spain,Saudi Arabia,1.1,10.0,25.0
Belgium,Iran,1.4,4.7,7.8
Uruguay,Cape Verde,1.43,4.5,7.5
New Zealand,Egypt,4.86,3.7,1.73
Argentina,Austria,1.64,3.8,5.45
France,Iraq,1.12,8.5,24.44
Norway,Senegal,2.12,3.45,3.33
Jordan,Algeria,6.47,4.2,1.51
Portugal,Uzbekistan,1.24,6.2,11.5
England,Ghana,1.3,5.15,9.5
Panama,Croatia,6.5,3.93,1.55
Colombia,DR Congo,1.45,4.2,7.4
Bosnia & Herzegovina,Qatar,1.62,3.7,5.6
Switzerland,Canada,2.1,3.28,3.5
Scotland,Brazil,6.7,4.5,1.44
Morocco,Haiti,1.3,5.1,10.0
Czech Republic,Mexico,4.4,3.45,1.82
South Africa,South Korea,5.6,3.84,1.6
Curaçao,Ivory Coast,13.0,6.1,1.2
Ecuador,Germany,4.66,3.7,1.73
Japan,Sweden,2.08,3.34,3.48
Tunisia,Netherlands,6.28,4.2,1.49
Paraguay,Australia,2.15,3.19,3.45
Turkey,United States,2.6,3.42,2.55
Norway,France,4.3,3.55,1.8
Senegal,Iraq,1.4,4.45,7.5
Cape Verde,Saudi Arabia,2.52,3.23,2.73
Uruguay,Spain,5.25,3.85,1.61
New Zealand,Belgium,10.0,5.5,1.27
Egypt,Iran,2.22,2.98,3.53
Croatia,Ghana,1.62,3.72,5.5
Panama,England,9.5,5.7,1.27
Colombia,Portugal,3.5,3.25,2.12
DR Congo,Uzbekistan,2.3,3.2,3.05
Algeria,Austria,3.58,3.1,2.13
Jordan,Argentina,13.5,6.75,1.17
